"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"2197" 1434 "90min" 1 "F10" 1 1 143 0.5 "DMSO" 912.4422701 1912.148728 999.7064579 0 0 33 33.87757182 22.03059805 1927.181818 17.14543406 0.008896635 1014.739548 17.14543406 0.016896389 2.65625 0.095250095 0.035858859 0.376940994 0.013553693 0.035957067 1.291666667 0.059839194 0.046327118 0.397727273 0.058082524 0.146036059 0.893939394 0.063439902 0.07096667 2.305555556 0.451014802 0.195620878 1831 1992364 744.844971 5114083 0.406796816
"2205" 1434 "90min" 1 "F11" 1 1 NA 0 "Media" 884.1291585 1975.518591 1091.389432 0 0 34 34.87003804 22.69819193 1992.470588 16.89761556 0.008480735 1108.34143 16.89761556 0.015245858 2.579545455 0.075377836 0.029221364 0.387983733 0.011246578 0.028987242 1.378676471 0.065172368 0.047271691 0.422794118 0.061658777 0.145836412 0.955882353 0.067995884 0.071134156 2.316176471 0.416302574 0.179736984 1818 1986233.125 767.917053 5378754 0.422396619
"2213" 1434 "90min" 1 "F12" 1 1 NA 0 "DMSO" 986.2837573 2145.716243 1159.432485 0 0 36 36.29495525 24.03337969 2162.555556 13.94365077 0.006447765 1176.271798 13.94365077 0.011854106 2.478571429 0.077208383 0.031150356 0.403838167 0.012564863 0.03111361 1.263888889 0.039840954 0.031522513 0.385416667 0.046049275 0.1194792 0.878472222 0.047114139 0.053631905 2.319444444 0.380319415 0.163970047 1922 1981723.875 723.893494 5126352.5 0.376635533
"2221" 1434 "90min" 1 "F13" 1 1 NA 0 "DMSO" 940.3620352 2119.524462 1179.162427 0 0 35 35.56767621 23.36578581 2135.6 14.94145437 0.006996373 1195.237965 14.94145437 0.01250082 2.529411765 0.081758743 0.032323224 0.39574605 0.012675427 0.032029194 1.367857143 0.073906596 0.054030932 0.414285714 0.058876027 0.142114548 0.953571429 0.068369363 0.071698208 2.35 0.384970927 0.163817416 1753 1959908.25 784.610596 5483808 0.447581629
"2229" 1434 "90min" 1 "F14" 1 1 NA 0 "Media" 962.7221135 1991.262231 1028.540117 0 0 36 37.19939014 24.03337969 2005.444444 14.29574251 0.007128466 1042.722331 14.29574251 0.013710019 2.417857143 0.067402279 0.027876866 0.41390142 0.011528808 0.027853994 1.277777778 0.052704628 0.0412471 0.385416667 0.035038244 0.09091004 0.892361111 0.053056387 0.059456184 2.333333333 0.241522946 0.103509834 1742 1987538.875 776.876038 5322899 0.445967875
"2237" 1434 "90min" 1 "F15" 1 1 NA 0 "Media" 872.0430528 1889.236791 1017.193738 0 0 35 35.51274878 23.36578581 1902.971429 10.91271712 0.005734567 1030.928376 10.91271712 0.01058533 2.533088235 0.077293368 0.030513492 0.395134896 0.012158832 0.030771344 1.328571429 0.061280112 0.046124815 0.375 0.052510503 0.140028008 0.953571429 0.068369363 0.071698208 2.60952381 0.521894577 0.199996097 1886 1965661.5 755.766541 5510474 0.400724571
"2245" 1434 "90min" 1 "F2" 1 1 141 25 "DMSO" 1356.273973 1356.273973 0 0 0 0 0 0 1356.273973 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 15 1736484.5 281.96344 1761861.25 18.79756267
"2253" 1434 "90min" 1 "F20" 1 1 NA 0 "DMSO" 966.2876712 1896.943249 930.6555773 0 0 37 37.33403996 24.70097357 1913.810811 15.96495787 0.008341973 947.5231396 15.96495787 0.016849148 2.409722222 0.076829537 0.031883151 0.41539961 0.013366124 0.032176544 1.263513514 0.057310859 0.045358327 0.385135135 0.054153671 0.140609533 0.878378378 0.062406086 0.071046928 2.337837838 0.455142914 0.194685408 1638 1981093.75 803.992737 5699959 0.490838057
"2261" 1434 "90min" 1 "F21" 1 1 NA 0 "DMSO" 953.0508806 2194.064579 1241.013699 0 0 35 35.20992521 23.36578581 2210.457143 13.79331223 0.006240027 1257.406262 13.79331223 0.010969654 2.555147059 0.082521671 0.032296251 0.39176551 0.01272731 0.03248706 1.453571429 0.068369363 0.047035434 0.464285714 0.064820372 0.13961311 0.989285714 0.07652511 0.077353902 2.186666667 0.432196851 0.197650999 1664 1991880 827.229492 6117168.5 0.497133108
"2269" 1434 "90min" 1 "F22" 1 1 142 10 "DMSO" 983.7906067 2146.968689 1163.178082 0 0 68 68.50174129 45.39638387 2168.382353 21.61883467 0.009970029 1184.591746 21.61883467 0.01825003 1.315298507 0.066565533 0.050608689 0.762189055 0.038244727 0.050177481 0.818014706 0.062719107 0.076672346 0.273897059 0.049518921 0.180793914 0.544117647 0.060179713 0.110600554 2.049019608 0.416351944 0.203195686 1662 2116670 838.022705 5784026.5 0.504225454
