"Cell.line" "TimePoint" "Plate" "Well" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv"
"1" 1434 "90min" 1 "F2" 1041 50 "DMSO" 1849.18591 1849.18591 0 0 0 0 0 0 1849.18591 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"2" 1434 "90min" 1 "K2" 1041 50 "DMSO" 1775.303327 1775.303327 0 0 0 0 0 0 1775.303327 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"3" 1434 "90min" 1 "F23" 1041 50 "DMSO" 2121.833659 2121.833659 0 0 0 0 0 0 2121.833659 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"4" 1434 "90min" 1 "F3" 1042 10 "DMSO" 1226.138943 2497.450098 1271.311155 0 0 70 78.80470926 42.04625088 2504.871429 17.40891112 0.006950022 1278.732485 17.40891112 0.013614193 1.269855072 0.055079962 0.043374999 0.788914899 0.033389345 0.042323127 0.778285714 0.052391266 0.067316237 0.258857143 0.032192485 0.124363906 0.519428571 0.054450768 0.104828211 2.035131477 0.304993211 0.149864131
"5" 1434 "90min" 1 "F6" 1042 10 "DMSO" 1166.612524 2412.733855 1246.121331 0 0 69 77.88801044 41.44559015 2426.811594 19.63136398 0.008089365 1260.19907 19.63136398 0.015577986 1.284852941 0.056792175 0.044201304 0.779737816 0.033033366 0.042364709 0.773333333 0.054033396 0.06987077 0.255217391 0.025414719 0.09958067 0.518115942 0.04965396 0.095835616 2.044953993 0.249173315 0.121847883
"6" 1434 "90min" 1 "F22" 1042 10 "DMSO" 1209.7182 2613.465753 1403.747554 0 0 69 77.35779489 41.44559015 2628.028986 24.09049789 0.009166755 1418.310786 24.09049789 0.016985345 1.293970588 0.060375435 0.046659047 0.774429822 0.035123949 0.045354593 0.816956522 0.062832746 0.076910759 0.27884058 0.052929927 0.189821463 0.538115942 0.058114374 0.107996009 1.998444761 0.426027254 0.2131794
"7" 1434 "90min" 1 "F16" 1043 0.5 "DMSO" 1088.101761 2248.837573 1160.735812 0 0 33 37.32171983 19.82180398 2268.909091 16.58380919 0.007309155 1180.80733 16.58380919 0.014044467 2.679375 0.08925995 0.033313721 0.373628189 0.012615811 0.033765684 1.287272727 0.066014806 0.051282688 0.443636364 0.062790235 0.141535366 0.843636364 0.06972348 0.082646366 1.951769473 0.389814315 0.199723544
"8" 1434 "90min" 1 "K16" 1043 0.5 "DMSO" 963.816047 1897.514677 933.6986301 0 0 33 37.68273174 19.82180398 1911.545455 14.09142228 0.007371743 947.7294076 14.09142228 0.014868614 2.6521875 0.061577875 0.023217768 0.377242284 0.008675523 0.022997217 1.238181818 0.064973771 0.052475145 0.416969697 0.059764373 0.143330255 0.821212121 0.070167548 0.085443878 2.016980904 0.374888348 0.185866087
"9" 1434 "90min" 1 "K23" 1043 0.5 "DMSO" 1122.694716 1122.694716 0 0 0 0 0 0 1122.694716 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"10" 1434 "90min" 1 "K3" 1044 0.1 "DMSO" 1134.565558 2143.536204 1008.970646 0 0 41 46.09873211 24.6270898 2157.731707 12.80434378 0.005934169 1023.16615 12.80434378 0.012514433 2.1685 0.060703145 0.02799315 0.461494966 0.012703075 0.027525923 1.156097561 0.054170012 0.046855918 0.362926829 0.047076741 0.129714138 0.793170732 0.060763436 0.076608268 2.245396385 0.505515437 0.225134164
"11" 1434 "90min" 1 "K6" 1044 0.1 "DMSO" 1066.624266 2111.273973 1044.649706 0 0 39 43.06035508 23.42576835 2128.153846 15.11280123 0.007101367 1061.52958 15.11280123 0.014236816 2.322105263 0.074295171 0.031994747 0.431077736 0.013943738 0.032346227 1.201794872 0.061851767 0.051466159 0.362564103 0.048271052 0.13313798 0.839230769 0.056818484 0.067703051 2.372690666 0.476107568 0.200661458
"12" 1434 "90min" 1 "K22" 1044 0.1 "DMSO" 1164.064579 2472.917808 1308.853229 0 0 36 41.26425028 21.62378616 2489.694444 21.16576676 0.008501351 1325.629865 21.16576676 0.015966574 2.424857143 0.101615522 0.041905777 0.413096909 0.017255041 0.041769959 1.346666667 0.052590059 0.039052024 0.433611111 0.063792197 0.147118456 0.913055556 0.078187301 0.085632577 2.169711554 0.465720842 0.214646431
"13" 1434 "90min" 1 "F7" 1045 10 "DMSO" 1074.164384 2100.67319 1026.508806 0 0 38 41.99197956 22.82510762 2117.315789 15.3607173 0.007254807 1043.151406 15.3607173 0.0147253 2.381621622 0.083150249 0.034913291 0.420382216 0.014737549 0.035057498 1.206842105 0.060721129 0.050314062 0.372105263 0.046099651 0.123888736 0.834736842 0.058482469 0.070060965 2.289340421 0.418450663 0.182782193
"14" 1434 "90min" 1 "K7" 1045 10 "DMSO" 1102.575342 2365.011742 1262.436399 0 0 42 47.55401577 25.22775053 2379.761905 16.31221228 0.006854556 1277.186562 16.31221228 0.012771989 2.103414634 0.078600565 0.037368079 0.476063828 0.017747029 0.037278676 1.267619048 0.052906246 0.041736708 0.39952381 0.056695695 0.141908176 0.868095238 0.054960655 0.063311781 2.223343494 0.382869554 0.17220441
"15" 1434 "90min" 1 "F12" 1045 10 "DMSO" 1089.784736 2279.499022 1189.714286 0 0 37 41.43794817 22.22444689 2295.972973 15.33059122 0.006677165 1206.188237 15.33059122 0.012709949 2.413055556 0.078660916 0.032598054 0.414835801 0.013376172 0.032244498 1.354324324 0.062607265 0.046227675 0.401891892 0.060131238 0.14962043 0.952432432 0.068044324 0.071442678 2.433047557 0.46688145 0.191891625
"16" 1434 "90min" 1 "F8" 1046 10 "DMSO" 998.4774951 1782.540117 784.0626223 1302.109589 0.387254902 13 15.67566317 7.808589448 1805.692308 12.93177363 0.007161671 807.2148126 12.93177363 0.016020238 6.385 0.302579817 0.047389165 0.156929254 0.00719457 0.045845942 5.286923077 0.251872475 0.047640654 0.461538462 0.060117406 0.130254381 4.825384615 0.267133406 0.055360023 10.66945618 1.867596828 0.175041426
"17" 1434 "90min" 1 "K8" 1046 10 "DMSO" 1069.181996 2026.528376 957.3463796 1440.489237 0.387850467 12 14.86728678 7.207928722 2037.416667 12.19879527 0.005987384 968.2346706 12.19879527 0.012599007 6.727272727 0.250403311 0.037222114 0.148836588 0.005557057 0.03733663 5.499166667 0.27221176 0.049500547 0.459166667 0.060371326 0.131480201 5.04 0.279349895 0.055426566 11.1895377 1.863169856 0.166509994
"18" 1434 "90min" 1 "F13" 1046 10 "DMSO" 1045.60274 1989.377691 943.7749511 1439.780822 0.417661098 20 22.63609305 12.01321454 2014.85 14.89003552 0.007390146 969.2472603 14.89003552 0.015362474 4.420526316 0.192425272 0.043529946 0.226610202 0.009529451 0.042052173 3.3625 0.185809042 0.055259195 0.444 0.063610658 0.143267247 2.9185 0.187512105 0.064249479 6.719768137 1.156527537 0.17210825
"19" 1434 "90min" 1 "F9" 1047 10 "DMSO" 965.62818 1732.923679 767.295499 1294.737769 0.428921569 21 24.01406176 12.61387526 1758.428571 13.98417473 0.007952654 792.8003914 13.98417473 0.01763896 4.1685 0.195751588 0.046959719 0.240405063 0.011455789 0.04765203 3.112857143 0.200577737 0.064435253 0.368571429 0.062312576 0.169065129 2.744285714 0.179431642 0.065383732 7.659264377 1.473157218 0.192336646
"20" 1434 "90min" 1 "K9" 1047 10 "DMSO" 1137.477495 2449.522505 1312.04501 0 0 47 53.02764908 28.23105416 2467.574468 26.42441615 0.01070866 1330.096973 26.42441615 0.019866534 1.893913043 0.139419085 0.073614301 0.530860437 0.039899622 0.075160286 1.262978723 0.059524014 0.047129863 0.417446809 0.060089357 0.143944942 0.845531915 0.059556641 0.070436893 2.073233861 0.360296284 0.17378468
"21" 1434 "90min" 1 "F14" 1047 10 "DMSO" 1033.232877 2008.767123 975.5342466 1444.821918 0.421911422 20 22.67295427 12.01321454 2024 11.14969908 0.005508745 990.7671233 11.14969908 0.011253602 4.407894737 0.101465864 0.023019121 0.22697922 0.005208863 0.022948634 3.318 0.063212257 0.019051313 0.4305 0.06460202 0.150062765 2.8875 0.09856203 0.034134036 6.875142248 1.186961493 0.172645372
"22" 1434 "90min" 1 "K12" 1048 10 "DMSO" 968.3228963 968.3228963 0 0 0 0 0 0 968.3228963 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"23" 1434 "90min" 1 "F17" 1048 10 "DMSO" 938.1702544 938.1702544 0 0 0 0 0 0 938.1702544 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"24" 1434 "90min" 1 "K17" 1048 10 "DMSO" 936.5342466 936.5342466 0 0 0 0 0 0 936.5342466 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
