Chemical.Number	Chemical.Name	Peak_Frequency_up	Peak_Frequency_dn	Peak_Decay_Rise_Ratio_up	Total_Cells_zero	Peak_Frequency_zero
1	N-Nitrosopyrrolidine	4	4	4	4	4
2	Isoniazid	4	4	4	4	4
3	Methotrexate	4	4	4	4	4
4	2-Chloroethanol	4	4	4	4	4
5	Dicrotophos	4	4	4	4	4
6	Safrole	4	4	4	4	4
7	Triethylene_glycol_bis(2-ethylhexanoate)	4	4	4	4	4
8	2-Chloro-4-phenylphenol	4	4	4	4	4
9	"4-Androstene-3,17-dione"	4	4	4	4	4
10	Prednisone	4	4	4	4	4
11	3-Phenoxybenzoic_acid	4	4	4	4	4
12	2-[4-(Diethylamino)-2-hydroxybenzoyl]benzoic_acid	4	4	4	4	4
13	Formetanate_hydrochloride	4	4	4	4	4
14	3-Methylbutyl_acetate	4	4	4	4	4
15	Pyraclostrobin	4	4	4	16	4
16	"Toluene-2,4-diisocyanate"	4	4	4	4	4
17	"Methyl_(RS)-2-[4-(2,4-dichlorophenoxy)phenoxy]propionate"	4	4	4	4	4
18	Citronellol	4	4	4	4	4
19	Dihexyl_phthalate	4	4	4	4	4
20	N-Ethylperfluorooctanesulfonamide	4	4	4	4	4
21	Valproic_acid	4	4	4	4	4
22	Clorophene	4	4	4	4	4
23	Flutamide	4	4	4	4	4
24	Cyclohexylphenylketone	4	4	4	4	4
25	Fenvalerate	4	4	4	4	4
26	Dicyclohexyl_disulfide	4	4	4	4	4
27	Aminoglutethimide	4	4	4	4	4
28	Cyclopamine	4	4	4	4	4
29	Endothal	4	4	4	4	4
30	"4,4'-Methylenebis(N,N-dimethylaniline)"	4	4	4	4	4
31	"4,4'-(9H-Fluorene-9,9-diyl)diphenol"	4	4	4	4	4
32	Trifloxysulfuron-sodium	4	4	4	4	4
33	Chlorimuron-ethyl	4	4	4	4	4
34	Molinate	4	4	4	4	4
35	"1,2-Dichlorobenzene"	4	4	4	4	4
36	17beta-Estradiol	4	4	4	4	4
37	"1,2,3-Trichlorobenzene"	4	4	4	4	4
38	"2,4-Diaminotoluene"	4	4	4	4	4
39	Chlorpyrifos_oxon	4	4	4	4	4
40	Imazamox	4	4	4	4	4
41	Hexythiazox	4	4	4	4	4
42	Tetrahydrocurcumin	4	4	4	4	4
43	1-Tetradecene	4	4	4	4	4
44	"Indeno(1,2,3-cd)pyrene"	4	4	4	4	4
45	Dalapon	4	4	4	4	4
