"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"2197" 1434 "90min" 1 "F10" 1 1 143 0.5 "DMSO" 912.4422701 1912.148728 999.7064579 0 0 33 33.87757182 22.03059805 1927.181818 17.14543406 0.008896635 1014.739548 17.14543406 0.016896389 2.65625 0.095250095 0.035858859 0.376940994 0.013553693 0.035957067 1.291666667 0.059839194 0.046327118 0.397727273 0.058082524 0.146036059 0.893939394 0.063439902 0.07096667 2.305555556 0.451014802 0.195620878 1831 1992364 744.844971 5114083 0.406796816
"2198" 1434 "90min" 1 "F10" 2 13 143 0.5 "DMSO" 2383.307241 4894.900196 2511.592955 0 0 24 27.28738067 14.41730076 4941.291667 26.67107074 0.005397591 2557.984426 26.67107074 0.010426596 3.663043478 0.102266798 0.027918532 0.273201649 0.007665661 0.02805862 1.713333333 0.068313005 0.039871404 0.469166667 0.05460663 0.116390686 1.244166667 0.085359428 0.068607711 2.706390469 0.510018917 0.188449864 1893 2007947.375 400.742188 7560421.5 0.211696877
"2199" 1434 "90min" 1 "F10" 3 14 143 0.5 "DMSO" 2125.72407 4811.076321 2685.35225 0 0 32 35.99934271 19.22306768 4836.65625 26.54710892 0.005488732 2710.93218 26.54710892 0.009792613 2.778064516 0.099646688 0.035869105 0.360425938 0.013355026 0.037053455 1.3440625 0.063797026 0.047465818 0.44125 0.06363961 0.144225746 0.9028125 0.075955606 0.084132204 2.103855797 0.438070038 0.208222464 2005 2595601.5 453.64325 8027844 0.226255985
"2200" 1434 "90min" 1 "F10" 4 15 143 0.5 "DMSO" 2235.712329 4886.485323 2650.772994 0 0 28 31.37290169 16.81850035 4904.607143 27.8279626 0.005673841 2668.894814 27.8279626 0.010426774 3.185185185 0.063752549 0.020015335 0.314074499 0.006278439 0.019990285 1.469285714 0.054223718 0.036904816 0.455357143 0.061069611 0.134113655 1.013928571 0.052376082 0.05165658 2.278616135 0.417123847 0.183060166 1591 3138040 450.783386 7898214 0.283333366
"2201" 1434 "90min" 1 "F10" 5 18 143 0.5 "DMSO" 2937.154599 2937.154599 0 0 0 0 0 0 2937.154599 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 1184 3805951 264.917023 4239225.5 0.223747486
"2205" 1434 "90min" 1 "F11" 1 1 NA 0 "Media" 884.1291585 1975.518591 1091.389432 0 0 34 34.87003804 22.69819193 1992.470588 16.89761556 0.008480735 1108.34143 16.89761556 0.015245858 2.579545455 0.075377836 0.029221364 0.387983733 0.011246578 0.028987242 1.378676471 0.065172368 0.047271691 0.422794118 0.061658777 0.145836412 0.955882353 0.067995884 0.071134156 2.316176471 0.416302574 0.179736984 1818 1986233.125 767.917053 5378754 0.422396619
"2206" 1434 "90min" 1 "F11" 2 13 NA 0 "Media" 2358.387476 5188.504892 2830.117417 0 0 30 34.56603582 18.02162595 5208.433333 28.33869456 0.005440925 2850.045858 28.33869456 0.009943242 2.892068966 0.086741789 0.029992988 0.346075649 0.010448542 0.030191496 1.650333333 0.060542566 0.036685053 0.417 0.059835983 0.143491565 1.233333333 0.055107001 0.044681353 3.019888099 0.463416762 0.153454945 2118 1790233.25 354.799713 6469318 0.16751639
"2207" 1434 "90min" 1 "F11" 3 14 NA 0 "Media" 2244.888454 5207.733855 2962.845401 0 0 34 38.07886132 20.42450941 5228.235294 31.50859317 0.006026621 2983.34684 31.50859317 0.010561492 2.625151515 0.07665349 0.029199644 0.381246109 0.011158161 0.029267606 1.279705882 0.054410633 0.042518076 0.419117647 0.060771188 0.144997922 0.860588235 0.051459968 0.059796272 2.101425822 0.354415847 0.168654941 1817 2996754.75 486.752411 8194578 0.267887953
"2208" 1434 "90min" 1 "F11" 4 15 NA 0 "Media" 2324.958904 5180.477495 2855.518591 0 0 33 37.15697069 19.82180398 5202.484848 34.43664583 0.006619269 2877.525944 34.43664583 0.011967449 2.69125 0.08990138 0.033405064 0.371978884 0.012506354 0.03362114 1.352727273 0.066251072 0.048975927 0.404848485 0.054836189 0.135448669 0.947878788 0.061733175 0.06512771 2.384159662 0.357421156 0.149914941 1155 4419189 664.249695 11052937 0.575107961
"2209" 1434 "90min" 1 "F11" 5 18 NA 0 "Media" 2929.575342 6044.438356 3114.863014 0 0 37 41.66224682 20.58605341 6080.108108 41.72647959 0.006862786 3150.532766 41.72647959 0.013244261 2.590833333 0.079547829 0.030703569 0.386333891 0.011995545 0.031049683 1.410540541 0.064976318 0.046064836 0.427027027 0.049038809 0.114837718 0.983513514 0.070797686 0.071984457 2.335758078 0.329312665 0.140987488 1257 3412422.25 319.935638 4604507 0.254523181
"2213" 1434 "90min" 1 "F12" 1 1 NA 0 "DMSO" 986.2837573 2145.716243 1159.432485 0 0 36 36.29495525 24.03337969 2162.555556 13.94365077 0.006447765 1176.271798 13.94365077 0.011854106 2.478571429 0.077208383 0.031150356 0.403838167 0.012564863 0.03111361 1.263888889 0.039840954 0.031522513 0.385416667 0.046049275 0.1194792 0.878472222 0.047114139 0.053631905 2.319444444 0.380319415 0.163970047 1922 1981723.875 723.893494 5126352.5 0.376635533
"2214" 1434 "90min" 1 "F12" 2 13 NA 0 "DMSO" 2493.328767 5525.794521 3032.465753 0 0 30 34.87460878 18.02162595 5547.2 32.6247209 0.005881295 3053.871233 32.6247209 0.01068307 2.866206897 0.081434189 0.028411832 0.349165086 0.009917843 0.028404451 1.658 0.05659292 0.034133245 0.408 0.05659292 0.138708138 1.25 0.031513544 0.025210835 3.117035562 0.403656618 0.129500165 1322 2929351 551.310608 10041491 0.417027691
"2215" 1434 "90min" 1 "F12" 3 14 NA 0 "DMSO" 2409.729941 5556.8591 3147.129159 0 0 38 44.50868207 22.82739287 5624.026316 42.73519142 0.007598683 3214.296374 42.73519142 0.013295349 2.310810811 0.417787681 0.180797008 0.445621567 0.073822766 0.165662461 1.453947368 0.422953192 0.290899933 0.401578947 0.148661166 0.370191632 1.052368421 0.422741594 0.40170494 2.82523396 1.402636741 0.496467465 1572 3132918.5 512.803223 8430000 0.326210702
"2216" 1434 "90min" 1 "F12" 4 15 NA 0 "DMSO" 2213.616438 4872.921722 2659.305284 0 0 33 37.56469021 19.82180398 4893.545455 25.97365361 0.005307737 2679.929016 25.97365361 0.009691918 2.6603125 0.057163285 0.021487432 0.376060569 0.007920887 0.021062796 1.292121212 0.060557699 0.046866887 0.401818182 0.05192871 0.129234346 0.89030303 0.052050747 0.05846408 2.251088409 0.308589706 0.137084668 1181 3985934.75 459.278748 7172400 0.38888971
"2217" 1434 "90min" 1 "F12" 5 18 NA 0 "DMSO" 2995.994129 6419.005871 3423.011742 0 0 40 45.14404448 22.25519288 6433.125 20.04378221 0.003115715 3437.130871 20.04378221 0.005831545 2.391025641 0.073763308 0.03085007 0.41862059 0.012983083 0.031013962 1.38275 0.057199045 0.041366151 0.4355 0.05857058 0.134490424 0.94725 0.050888894 0.05372277 2.215228992 0.323716352 0.14613223 1375 3311463.5 241.384567 3830647.5 0.175552412
