Chemical.Number	Chemical.Name	Peak_Width_up	Peak_Width_dn	Peak_Frequency_up	Peak_Frequency_dn	Peak_Decay_Rise_Ratio_up	Total_Cells_zero	Peak_Frequency_zero	Peak_Spacing_CV_up
1	mifepristone	4	4	4	4	4	4	4	4
2	N-acetylprocainamide	4	4	4	4	4	4	4	4
3	Propafenone	4	4	4	4	4	4	4	4
4	bepridil_hydrochloride	4	4	4	4	4	4	4	4
5	citalopram_hydrobromide	4	4	4	4	4	4	4	4
6	disopyramide_phosphate	4	4	4	4	4	4	4	4
7	Tartaric_acid	4	4	4	4	4	4	4	4
8	Glucono-d-lactone	4	4	4	4	4	4	4	4
9	Xylitol	4	4	4	4	4	4	4	4
10	Leucine	4	4	4	4	4	4	4	4
11	"3,4-Dichlorophenyl_isocyanate"	4	4	4	4	4	4	4	4
12	vernacalant	4	4	4	4	4	4	4	4
13	1-Methyl-Alpha-Ionone	4	4	4	4	4	4	4	4
14	lamotrigine	4	4	4	4	4	4	4	4
15	dofetilide	4	4	4	4	4	4	4	4
16	diltiazem	4	4	4	4	4	4	4	4
17	cisapride_monohydrate	4	4	4	4	4	4	4	4
18	ranolazine	4	4	4	4	4	4	4	4
19	loratadine	4	4	4	4	4	4	4	4
20	ibutilide_fumarate	4	4	4	4	4	4	4	4
21	cabazitaxel	4	4	4	4	4	4	4	4
22	Quinine.HCl.2H2O	4	4	4	4	4	4	4	4
23	chlorpromazine_Hydrochloride	4	4	4	4	4	4	4	4
24	Isoproterenol	4	4	4	4	4	4	4	4
25	Nifedipine	4	4	4	4	4	4	4	4
26	Azithromycin	4	4	4	4	4	4	4	4
27	Propranolol	4	4	4	4	4	4	4	4
28	sotalol_hydrochloride	4	4	4	4	4	4	4	4
29	Sotalol	4	4	4	4	4	4	4	4
30	amitriptyline_hydrochloride	4	4	4	4	4	4	4	4
31	Lisinopril	4	4	4	4	4	4	4	4
32	Ranitidine.HCl	4	4	4	4	4	4	4	4
33	nitrendipine	4	4	4	4	4	4	4	4
34	quinidine_sulfate	4	4	4	4	4	4	4	4
35	sematilide	4	4	4	4	4	4	4	4
36	Chloroquine	4	4	4	4	4	4	4	4
37	moxifloxacin_hydrochloride	4	4	4	4	4	4	4	4
38	mexiletine_hydrochloride	4	4	4	4	4	4	4	4
39	Lignocaine(Lidocaine)	4	4	4	4	4	4	4	4
40	Terfenadine	4	4	4	4	4	4	4	4
41	Retinal	4	4	4	4	4	4	4	4
42	Alizarin_Yellow_R(Mordant_Orange_1)	4	4	4	4	4	4	4	4
43	Titanocene_dichloride	4	4	4	4	4	4	4	4
44	2-Amino-4-chlorophenol	4	4	4	4	4	4	4	4
45	Tris(2-chloroethyl)phosphate	4	4	4	4	4	4	4	4
46	Carbaryl	4	4	4	4	4	4	4	4
47	Chlorpyrifos	4	4	4	4	4	4	4	4
48	2-Methoxyethanol	4	4	4	4	4	4	4	4
49	Ethoxyquin	4	4	4	4	4	4	4	4
50	"Dibenz(a,h)anthracene"	4	4	4	4	4	4	4	4
51	Gentian_Violet	4	4	4	4	4	4	4	4
52	3-Iodo-2-propynyl-N-butylcarbamate	4	4	4	4	4	4	4	4
53	Maltol	4	4	4	4	4	4	4	4
54	Acenaphthylene	4	4	4	4	4	4	4	4
55	4-Hexylresorcinol	4	4	4	4	4	4	4	4
56	Thiabendazole	4	4	4	4	4	4	4	4
57	Naphthalene	4	4	4	4	4	4	4	4
