"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"385" 1083 "90min" 1 "F10" 1 6 143 0.5 "DMSO" 832.6046967 1619.677104 787.072407 0 0 49 49.81670292 32.71210014 1637.795918 16.10639054 0.009834187 805.1912217 16.10639054 0.020003187 1.807291667 0.07717732 0.042703301 0.554288767 0.023342415 0.042112373 1.109693878 0.060556518 0.054570471 0.329081633 0.06088474 0.185014093 0.780612245 0.060005492 0.07686978 2.482993197 0.637599754 0.25678675 1918 2192903.5 673.470459 16010554 0.351131626
"386" 1083 "90min" 1 "F11" 1 6 NA 0 "Media" 841.1780822 1638.082192 796.9041096 0 0 53 53.2716399 35.38247566 1655.528302 15.56945206 0.009404522 814.3502197 15.56945206 0.019118865 1.692307692 0.094134143 0.055624721 0.592730347 0.033470218 0.056467867 1.089622642 0.06190757 0.056815605 0.349056604 0.051178953 0.146620783 0.740566038 0.053982372 0.072893394 2.188679245 0.490331451 0.224030749 1759 2301959 709.70343 16529000 0.403469829
"387" 1083 "90min" 1 "F12" 1 6 NA 0 "DMSO" 928.8845401 1796.911937 868.0273973 0 0 51 51.90495238 34.0472879 1812.294118 14.87722302 0.008209056 883.4095775 14.87722302 0.016840686 1.735 0.078408923 0.045192463 0.57752381 0.026115471 0.04521973 1.139705882 0.059408853 0.052126477 0.367647059 0.038824643 0.10560303 0.772058824 0.059717472 0.077348345 2.137254902 0.403740679 0.188906189 1655 2146805 731.503235 14392132 0.441995912
"388" 1083 "90min" 1 "F13" 1 6 NA 0 "DMSO" 964.4403131 1935.78865 971.3483366 0 0 52 52.04913453 34.71488178 1946.519231 12.88940952 0.006621774 982.0789177 12.88940952 0.013124617 1.730392157 0.080516105 0.046530554 0.579128061 0.026876513 0.046408584 1.139423077 0.063852264 0.056039118 0.360576923 0.047316766 0.131225164 0.778846154 0.068310245 0.087706981 2.221153846 0.515258627 0.23197791 1876 2208660.25 702.569458 16376556 0.374503975
"389" 1083 "90min" 1 "F14" 1 6 NA 0 "Media" 794.4109589 1521.315068 726.9041096 0 0 51 50.95155311 34.0472879 1540.078431 13.17853275 0.008557053 745.6674725 13.17853275 0.017673471 1.7675 0.07989949 0.045204804 0.566915751 0.02588204 0.04565412 1.093137255 0.065398477 0.059826409 0.338235294 0.057522374 0.17006615 0.754901961 0.061036794 0.080853935 2.323529412 0.577746354 0.24865033 1732 2283583 735.127136 17147578 0.4244383
"390" 1083 "90min" 1 "F15" 1 6 NA 0 "Media" 823.739726 1610.659491 786.9197652 0 0 50 50.77732582 33.37969402 1625.8 12.94730293 0.00796365 802.060274 12.94730293 0.016142556 1.775510204 0.098753929 0.055620029 0.5649772 0.032380899 0.057313638 1.0825 0.059814765 0.055256134 0.3325 0.059814765 0.17989403 0.75 0.061858957 0.08247861 2.36 0.617543961 0.26167117 1744 2338213 735.457397 17036468 0.421707223
"391" 1083 "90min" 1 "F2" 1 6 141 25 "DMSO" 1618.857143 1618.857143 0 0 0 0 0 0 1618.857143 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 256 4444433 338.774994 7636615 1.32333982
"392" 1083 "90min" 1 "F20" 1 6 NA 0 "DMSO" 889.5831703 1774.248532 884.665362 0 0 56 57.03156843 37.3852573 1792.160714 16.89623604 0.009427858 902.577544 16.89623604 0.018719983 1.579545455 0.077443365 0.049028893 0.634565435 0.030614145 0.048244267 1.029017857 0.053252568 0.051750869 0.314732143 0.063025389 0.200250882 0.714285714 0.056980288 0.079772404 2.386904762 0.608946053 0.255119544 1849 2265065 721.518494 15626588 0.390220927
"393" 1083 "90min" 1 "F21" 1 6 NA 0 "DMSO" 886.223092 1846.849315 960.6262231 0 0 57 57.99483552 38.05285118 1863.701754 16.0289525 0.0086006 977.4786624 16.0289525 0.016398263 1.553571429 0.078541907 0.05055571 0.645283288 0.032400201 0.050210816 1.035087719 0.056667035 0.054746119 0.333333333 0.059449358 0.178348075 0.701754386 0.061393718 0.087486048 2.204678363 0.583348251 0.264595626 2007 2250341.75 665.907532 15298016 0.331792492
"394" 1083 "90min" 1 "F22" 1 6 142 10 "DMSO" 920.9217221 1827.508806 906.5870841 0 0 87 87.66876615 58.08066759 1839.91954 18.70407143 0.010165701 918.9978181 18.70407143 0.020352683 1.027616279 0.052163356 0.050761512 0.975452196 0.046367428 0.04753429 0.777298851 0.051943645 0.066825835 0.245689655 0.035397842 0.144075427 0.531609195 0.054647359 0.102796114 2.254789272 0.719262057 0.318993028 1738 2487155.25 753.152344 18423608 0.433344272
