Chemical.Number	Chemical.Name	Peak_Frequency_up	Peak_Frequency_dn	Peak_Decay_Rise_Ratio_up	Total_Cells_zero	Peak_Frequency_zero
1	mifepristone	8	8	8	32	16
2	N-acetylprocainamide	8	8	8	8	8
3	Propafenone	8	16	8	8	16
4	bepridil_hydrochloride	8	8	8	8	16
5	citalopram_hydrobromide	8	8	8	8	8
6	disopyramide_phosphate	8	8	16	8	8
7	Tartaric_acid	8	8	8	8	8
8	Glucono-d-lactone	8	8	8	8	8
9	Xylitol	8	8	16	8	8
10	Leucine	8	8	8	8	8
11	"3,4-Dichlorophenyl_isocyanate"	8	8	8	8	8
12	vernacalant	8	8	8	8	8
13	1-Methyl-Alpha-Ionone	8	8	8	8	8
14	lamotrigine	8	8	8	8	8
15	dofetilide	8	8	16	8	32
16	diltiazem	8	8	8	8	8
17	cisapride_monohydrate	16	8	8	8	8
18	ranolazine	16	8	8	8	32
19	loratadine	8	8	8	8	32
20	ibutilide_fumarate	8	8	8	8	32
21	cabazitaxel	8	8	8	8	32
22	Quinine.HCl.2H2O	8	8	8	8	8
23	chlorpromazine_Hydrochloride	8	8	8	8	8
24	Isoproterenol	8	8	32	8	8
25	Nifedipine	8	8	16	8	8
26	Azithromycin	8	8	8	8	8
27	Propranolol	8	8	8	32	8
28	sotalol_hydrochloride	8	8	16	8	8
29	Sotalol	8	8	8	8	8
30	amitriptyline_hydrochloride	8	8	8	32	8
31	Lisinopril	8	8	8	8	8
32	Ranitidine.HCl	8	8	8	8	8
33	nitrendipine	8	8	8	8	8
34	quinidine_sulfate	8	8	8	8	8
35	sematilide	8	8	8	8	8
36	Chloroquine	8	8	8	8	8
37	moxifloxacin_hydrochloride	8	8	8	8	8
38	mexiletine_hydrochloride	8	8	8	8	8
39	Lignocaine(Lidocaine)	8	8	8	8	32
40	Terfenadine	8	8	8	8	32
41	Retinal	8	8	8	8	8
42	Alizarin_Yellow_R(Mordant_Orange_1)	8	8	8	8	8
43	Titanocene_dichloride	8	8	8	8	8
44	2-Amino-4-chlorophenol	8	8	8	8	8
45	Tris(2-chloroethyl)phosphate	8	8	8	8	8
46	Carbaryl	8	8	8	8	8
47	Chlorpyrifos	8	8	8	8	8
48	2-Methoxyethanol	8	8	8	8	8
49	Ethoxyquin	8	8	8	8	8
50	"Dibenz(a,h)anthracene"	8	8	8	8	8
51	Gentian_Violet	8	16	8	8	8
52	3-Iodo-2-propynyl-N-butylcarbamate	8	8	8	32	8
53	Maltol	8	8	8	8	8
