"","lp__","accept_stat__","stepsize__","treedepth__","n_leapfrog__","divergent__","energy__","m_y0","m_x0","m_Emax","m_n","sigma_y","y0.1","y0.2","x0.1","x0.2","Emax.1","Emax.2","n.1","n.2","ec99.1","ec99.2","ec95.1","ec95.2","ec50.1","ec50.2","ec10.1","ec10.2","ec05.1","ec05.2","ec025.1","ec025.2","ec01.1","ec01.2","ec99_median","ec95_median","ec50_median","ec10_median","ec05_median","ec025_median","ec01_median","ec99_quants.1","ec99_quants.2","ec99_quants.3","ec99_quants.4","ec99_quants.5","ec99_quants.6","ec99_quants.7","ec99_quants.8","ec99_quants.9","ec99_quants.10","ec99_quants.11","ec99_quant_ratios.1","ec99_quant_ratios.2","ec99_quant_ratios.3","ec99_quant_ratios.4","ec99_quant_ratios.5","ec99_quant_ratios.6","ec99_quant_ratios.7","ec99_quant_ratios.8","ec99_quant_ratios.9","ec99_quant_ratios.10","ec99_quant_ratios.11","ec95_quants.1","ec95_quants.2","ec95_quants.3","ec95_quants.4","ec95_quants.5","ec95_quants.6","ec95_quants.7","ec95_quants.8","ec95_quants.9","ec95_quants.10","ec95_quants.11","ec95_quant_ratios.1","ec95_quant_ratios.2","ec95_quant_ratios.3","ec95_quant_ratios.4","ec95_quant_ratios.5","ec95_quant_ratios.6","ec95_quant_ratios.7","ec95_quant_ratios.8","ec95_quant_ratios.9","ec95_quant_ratios.10","ec95_quant_ratios.11","ec50_quants.1","ec50_quants.2","ec50_quants.3","ec50_quants.4","ec50_quants.5","ec50_quants.6","ec50_quants.7","ec50_quants.8","ec50_quants.9","ec50_quants.10","ec50_quants.11","ec50_quant_ratios.1","ec50_quant_ratios.2","ec50_quant_ratios.3","ec50_quant_ratios.4","ec50_quant_ratios.5","ec50_quant_ratios.6","ec50_quant_ratios.7","ec50_quant_ratios.8","ec50_quant_ratios.9","ec50_quant_ratios.10","ec50_quant_ratios.11","ec10_quants.1","ec10_quants.2","ec10_quants.3","ec10_quants.4","ec10_quants.5","ec10_quants.6","ec10_quants.7","ec10_quants.8","ec10_quants.9","ec10_quants.10","ec10_quants.11","ec10_quant_ratios.1","ec10_quant_ratios.2","ec10_quant_ratios.3","ec10_quant_ratios.4","ec10_quant_ratios.5","ec10_quant_ratios.6","ec10_quant_ratios.7","ec10_quant_ratios.8","ec10_quant_ratios.9","ec10_quant_ratios.10","ec10_quant_ratios.11","ec05_quants.1","ec05_quants.2","ec05_quants.3","ec05_quants.4","ec05_quants.5","ec05_quants.6","ec05_quants.7","ec05_quants.8","ec05_quants.9","ec05_quants.10","ec05_quants.11","ec05_quant_ratios.1","ec05_quant_ratios.2","ec05_quant_ratios.3","ec05_quant_ratios.4","ec05_quant_ratios.5","ec05_quant_ratios.6","ec05_quant_ratios.7","ec05_quant_ratios.8","ec05_quant_ratios.9","ec05_quant_ratios.10","ec05_quant_ratios.11","ec025_quants.1","ec025_quants.2","ec025_quants.3","ec025_quants.4","ec025_quants.5","ec025_quants.6","ec025_quants.7","ec025_quants.8","ec025_quants.9","ec025_quants.10","ec025_quants.11","ec025_quant_ratios.1","ec025_quant_ratios.2","ec025_quant_ratios.3","ec025_quant_ratios.4","ec025_quant_ratios.5","ec025_quant_ratios.6","ec025_quant_ratios.7","ec025_quant_ratios.8","ec025_quant_ratios.9","ec025_quant_ratios.10","ec025_quant_ratios.11","ec01_quants.1","ec01_quants.2","ec01_quants.3","ec01_quants.4","ec01_quants.5","ec01_quants.6","ec01_quants.7","ec01_quants.8","ec01_quants.9","ec01_quants.10","ec01_quants.11","ec01_quant_ratios.1","ec01_quant_ratios.2","ec01_quant_ratios.3","ec01_quant_ratios.4","ec01_quant_ratios.5","ec01_quant_ratios.6","ec01_quant_ratios.7","ec01_quant_ratios.8","ec01_quant_ratios.9","ec01_quant_ratios.10","ec01_quant_ratios.11"
"1","81.2651",0.997773,0.0028682,10,2047,0,-79.1919,0.0230315,-3.44399,4.34704,0.26539,0.0817337,1.0233,1.0233,0.0319371,0.0319371,77.2498,77.2498,1.30394,1.30394,0.032007,0.032007,0.030998,0.030998,0.0188624,0.0188624,0.0054679,0.0054679,0.00321176,0.00321176,0.00188701,0.00188701,0.000934384,0.000934384,0.032007,0.030998,0.0188624,0.0054679,0.00321176,0.00188701,0.000934384,0.032007,0.032007,0.032007,0.032007,0.032007,0.032007,0.032007,0.032007,0.032007,0.032007,0.032007,1,1,1,1,1,1,1,1,1,1,1,0.030998,0.030998,0.030998,0.030998,0.030998,0.030998,0.030998,0.030998,0.030998,0.030998,0.030998,1,1,1,1,1,1,1,1,1,1,1,0.0188624,0.0188624,0.0188624,0.0188624,0.0188624,0.0188624,0.0188624,0.0188624,0.0188624,0.0188624,0.0188624,1,1,1,1,1,1,1,1,1,1,1,0.0054679,0.0054679,0.0054679,0.0054679,0.0054679,0.0054679,0.0054679,0.0054679,0.0054679,0.0054679,0.0054679,1,1,1,1,1,1,1,1,1,1,1,0.00321176,0.00321176,0.00321176,0.00321176,0.00321176,0.00321176,0.00321176,0.00321176,0.00321176,0.00321176,0.00321176,1,1,1,1,1,1,1,1,1,1,1,0.00188701,0.00188701,0.00188701,0.00188701,0.00188701,0.00188701,0.00188701,0.00188701,0.00188701,0.00188701,0.00188701,1,1,1,1,1,1,1,1,1,1,1,0.000934384,0.000934384,0.000934384,0.000934384,0.000934384,0.000934384,0.000934384,0.000934384,0.000934384,0.000934384,0.000934384,1,1,1,1,1,1,1,1,1,1,1
"2","83.1328",0.973166,0.0028682,6,127,0,-82.1794,0.00420121,-3.3483,4.47638,0.36612,0.0609058,1.00421,1.00421,0.0351442,0.0351442,87.9159,87.9159,1.44213,1.44213,0.0351753,0.0351753,0.0341727,0.0341727,0.0218188,0.0218188,0.00712487,0.00712487,0.00440419,0.00440419,0.00272295,0.00272295,0.00144228,0.00144228,0.0351753,0.0341727,0.0218188,0.00712487,0.00440419,0.00272295,0.00144228,0.0351753,0.0351753,0.0351753,0.0351753,0.0351753,0.0351753,0.0351753,0.0351753,0.0351753,0.0351753,0.0351753,1,1,1,1,1,1,1,1,1,1,1,0.0341727,0.0341727,0.0341727,0.0341727,0.0341727,0.0341727,0.0341727,0.0341727,0.0341727,0.0341727,0.0341727,1,1,1,1,1,1,1,1,1,1,1,0.0218188,0.0218188,0.0218188,0.0218188,0.0218188,0.0218188,0.0218188,0.0218188,0.0218188,0.0218188,0.0218188,1,1,1,1,1,1,1,1,1,1,1,0.00712487,0.00712487,0.00712487,0.00712487,0.00712487,0.00712487,0.00712487,0.00712487,0.00712487,0.00712487,0.00712487,1,1,1,1,1,1,1,1,1,1,1,0.00440419,0.00440419,0.00440419,0.00440419,0.00440419,0.00440419,0.00440419,0.00440419,0.00440419,0.00440419,0.00440419,1,1,1,1,1,1,1,1,1,1,1,0.00272295,0.00272295,0.00272295,0.00272295,0.00272295,0.00272295,0.00272295,0.00272295,0.00272295,0.00272295,0.00272295,1,1,1,1,1,1,1,1,1,1,1,0.00144228,0.00144228,0.00144228,0.00144228,0.00144228,0.00144228,0.00144228,0.00144228,0.00144228,0.00144228,0.00144228,1,1,1,1,1,1,1,1,1,1,1
"3","82.2765",0.979003,0.0028682,10,2047,0,-78.6781,0.0142341,-4.34376,4.57916,-0.295903,0.0742184,1.01434,1.01434,0.0129876,0.0129876,97.4329,97.4329,0.743859,0.743859,0.0129904,0.0129904,0.0122829,0.0122829,0.00515045,0.00515045,0.000588556,0.000588556,0.000231634,0.000231634,9.11937e-05,9.11937e-05,2.66016e-05,2.66016e-05,0.0129904,0.0122829,0.00515045,0.000588556,0.000231634,9.11937e-05,2.66016e-05,0.0129904,0.0129904,0.0129904,0.0129904,0.0129904,0.0129904,0.0129904,0.0129904,0.0129904,0.0129904,0.0129904,1,1,1,1,1,1,1,1,1,1,1,0.0122829,0.0122829,0.0122829,0.0122829,0.0122829,0.0122829,0.0122829,0.0122829,0.0122829,0.0122829,0.0122829,1,1,1,1,1,1,1,1,1,1,1,0.00515045,0.00515045,0.00515045,0.00515045,0.00515045,0.00515045,0.00515045,0.00515045,0.00515045,0.00515045,0.00515045,1,1,1,1,1,1,1,1,1,1,1,0.000588556,0.000588556,0.000588556,0.000588556,0.000588556,0.000588556,0.000588556,0.000588556,0.000588556,0.000588556,0.000588556,1,1,1,1,1,1,1,1,1,1,1,0.000231634,0.000231634,0.000231634,0.000231634,0.000231634,0.000231634,0.000231634,0.000231634,0.000231634,0.000231634,0.000231634,1,1,1,1,1,1,1,1,1,1,1,9.11937e-05,9.11937e-05,9.11937e-05,9.11937e-05,9.11937e-05,9.11937e-05,9.11937e-05,9.11937e-05,9.11937e-05,9.11937e-05,9.11937e-05,1,1,1,1,1,1,1,1,1,1,1,2.66016e-05,2.66016e-05,2.66016e-05,2.66016e-05,2.66016e-05,2.66016e-05,2.66016e-05,2.66016e-05,2.66016e-05,2.66016e-05,2.66016e-05,1,1,1,1,1,1,1,1,1,1,1
"4","81.17",0.999178,0.0028682,10,2047,0,-79.0292,0.024672,-4.75697,1.48153,0.623364,0.067424,1.02498,1.02498,0.00859157,0.00859157,4.39969,4.39969,1.86519,1.86519,0.00979685,0.00979685,0.00952287,0.00952287,0.00632074,0.00632074,0.00253098,0.00253098,0.00173461,0.00173461,0.00119254,0.00119254,0.000728327,0.000728327,0.00979685,0.00952287,0.00632074,0.00253098,0.00173461,0.00119254,0.000728327,0.00979685,0.00979685,0.00979685,0.00979685,0.00979685,0.00979685,0.00979685,0.00979685,0.00979685,0.00979685,0.00979685,1,1,1,1,1,1,1,1,1,1,1,0.00952287,0.00952287,0.00952287,0.00952287,0.00952287,0.00952287,0.00952287,0.00952287,0.00952287,0.00952287,0.00952287,1,1,1,1,1,1,1,1,1,1,1,0.00632074,0.00632074,0.00632074,0.00632074,0.00632074,0.00632074,0.00632074,0.00632074,0.00632074,0.00632074,0.00632074,1,1,1,1,1,1,1,1,1,1,1,0.00253098,0.00253098,0.00253098,0.00253098,0.00253098,0.00253098,0.00253098,0.00253098,0.00253098,0.00253098,0.00253098,1,1,1,1,1,1,1,1,1,1,1,0.00173461,0.00173461,0.00173461,0.00173461,0.00173461,0.00173461,0.00173461,0.00173461,0.00173461,0.00173461,0.00173461,1,1,1,1,1,1,1,1,1,1,1,0.00119254,0.00119254,0.00119254,0.00119254,0.00119254,0.00119254,0.00119254,0.00119254,0.00119254,0.00119254,0.00119254,1,1,1,1,1,1,1,1,1,1,1,0.000728327,0.000728327,0.000728327,0.000728327,0.000728327,0.000728327,0.000728327,0.000728327,0.000728327,0.000728327,0.000728327,1,1,1,1,1,1,1,1,1,1,1
"5","79.179",0.999945,0.0028682,10,1023,0,-76.8723,-0.0108843,-8.66651,1.4733,-0.106559,0.0839529,0.989175,0.989175,0.000172259,0.000172259,4.3636,4.3636,0.898922,0.898922,0.0002268,0.0002268,0.000213807,0.000213807,9.12217e-05,9.12217e-05,1.36439e-05,1.36439e-05,6.22912e-06,6.22912e-06,2.86257e-06,2.86257e-06,1.02897e-06,1.02897e-06,0.0002268,0.000213807,9.12217e-05,1.36439e-05,6.22912e-06,2.86257e-06,1.02897e-06,0.0002268,0.0002268,0.0002268,0.0002268,0.0002268,0.0002268,0.0002268,0.0002268,0.0002268,0.0002268,0.0002268,1,1,1,1,1,1,1,1,1,1,1,0.000213807,0.000213807,0.000213807,0.000213807,0.000213807,0.000213807,0.000213807,0.000213807,0.000213807,0.000213807,0.000213807,1,1,1,1,1,1,1,1,1,1,1,9.12217e-05,9.12217e-05,9.12217e-05,9.12217e-05,9.12217e-05,9.12217e-05,9.12217e-05,9.12217e-05,9.12217e-05,9.12217e-05,9.12217e-05,1,1,1,1,1,1,1,1,1,1,1,1.36439e-05,1.36439e-05,1.36439e-05,1.36439e-05,1.36439e-05,1.36439e-05,1.36439e-05,1.36439e-05,1.36439e-05,1.36439e-05,1.36439e-05,1,1,1,1,1,1,1,1,1,1,1,6.22912e-06,6.22912e-06,6.22912e-06,6.22912e-06,6.22912e-06,6.22912e-06,6.22912e-06,6.22912e-06,6.22912e-06,6.22912e-06,6.22912e-06,1,1,1,1,1,1,1,1,1,1,1,2.86257e-06,2.86257e-06,2.86257e-06,2.86257e-06,2.86257e-06,2.86257e-06,2.86257e-06,2.86257e-06,2.86257e-06,2.86257e-06,2.86257e-06,1,1,1,1,1,1,1,1,1,1,1,1.02897e-06,1.02897e-06,1.02897e-06,1.02897e-06,1.02897e-06,1.02897e-06,1.02897e-06,1.02897e-06,1.02897e-06,1.02897e-06,1.02897e-06,1,1,1,1,1,1,1,1,1,1,1
"6","79.4812",0.994466,0.0028682,10,1023,0,-78.0404,0.0207564,-7.28929,1.46648,0.770528,0.0545253,1.02097,1.02097,0.000682815,0.000682815,4.33394,4.33394,2.16091,2.16091,0.000766306,0.000766306,0.000747693,0.000747693,0.000524364,0.000524364,0.000237808,0.000237808,0.000171617,0.000171617,0.000124189,0.000124189,8.1139e-05,8.1139e-05,0.000766306,0.000747693,0.000524364,0.000237808,0.000171617,0.000124189,8.1139e-05,0.000766306,0.000766306,0.000766306,0.000766306,0.000766306,0.000766306,0.000766306,0.000766306,0.000766306,0.000766306,0.000766306,1,1,1,1,1,1,1,1,1,1,1,0.000747693,0.000747693,0.000747693,0.000747693,0.000747693,0.000747693,0.000747693,0.000747693,0.000747693,0.000747693,0.000747693,1,1,1,1,1,1,1,1,1,1,1,0.000524364,0.000524364,0.000524364,0.000524364,0.000524364,0.000524364,0.000524364,0.000524364,0.000524364,0.000524364,0.000524364,1,1,1,1,1,1,1,1,1,1,1,0.000237808,0.000237808,0.000237808,0.000237808,0.000237808,0.000237808,0.000237808,0.000237808,0.000237808,0.000237808,0.000237808,1,1,1,1,1,1,1,1,1,1,1,0.000171617,0.000171617,0.000171617,0.000171617,0.000171617,0.000171617,0.000171617,0.000171617,0.000171617,0.000171617,0.000171617,1,1,1,1,1,1,1,1,1,1,1,0.000124189,0.000124189,0.000124189,0.000124189,0.000124189,0.000124189,0.000124189,0.000124189,0.000124189,0.000124189,0.000124189,1,1,1,1,1,1,1,1,1,1,1,8.1139e-05,8.1139e-05,8.1139e-05,8.1139e-05,8.1139e-05,8.1139e-05,8.1139e-05,8.1139e-05,8.1139e-05,8.1139e-05,8.1139e-05,1,1,1,1,1,1,1,1,1,1,1
"7","78.6735",0.99966,0.0028682,10,1023,0,-76.0398,0.0171543,-10.2227,2.05675,-1.27457,0.080763,1.0173,1.0173,3.6336e-05,3.6336e-05,7.82052,7.82052,0.279552,0.279552,5.68847e-05,5.68847e-05,4.80675e-05,4.80675e-05,3.85609e-06,3.85609e-06,1.00733e-08,1.00733e-08,8.24729e-10,8.24729e-10,6.83108e-11,6.83108e-11,2.55863e-12,2.55863e-12,5.68847e-05,4.80675e-05,3.85609e-06,1.00733e-08,8.24729e-10,6.83108e-11,2.55863e-12,5.68847e-05,5.68847e-05,5.68847e-05,5.68847e-05,5.68847e-05,5.68847e-05,5.68847e-05,5.68847e-05,5.68847e-05,5.68847e-05,5.68847e-05,1,1,1,1,1,1,1,1,1,1,1,4.80675e-05,4.80675e-05,4.80675e-05,4.80675e-05,4.80675e-05,4.80675e-05,4.80675e-05,4.80675e-05,4.80675e-05,4.80675e-05,4.80675e-05,1,1,1,1,1,1,1,1,1,1,1,3.85609e-06,3.85609e-06,3.85609e-06,3.85609e-06,3.85609e-06,3.85609e-06,3.85609e-06,3.85609e-06,3.85609e-06,3.85609e-06,3.85609e-06,1,1,1,1,1,1,1,1,1,1,1,1.00733e-08,1.00733e-08,1.00733e-08,1.00733e-08,1.00733e-08,1.00733e-08,1.00733e-08,1.00733e-08,1.00733e-08,1.00733e-08,1.00733e-08,1,1,1,1,1,1,1,1,1,1,1,8.24729e-10,8.24729e-10,8.24729e-10,8.24729e-10,8.24729e-10,8.24729e-10,8.24729e-10,8.24729e-10,8.24729e-10,8.24729e-10,8.24729e-10,1,1,1,1,1,1,1,1,1,1,1,6.83108e-11,6.83108e-11,6.83108e-11,6.83108e-11,6.83108e-11,6.83108e-11,6.83108e-11,6.83108e-11,6.83108e-11,6.83108e-11,6.83108e-11,1,1,1,1,1,1,1,1,1,1,1,2.55863e-12,2.55863e-12,2.55863e-12,2.55863e-12,2.55863e-12,2.55863e-12,2.55863e-12,2.55863e-12,2.55863e-12,2.55863e-12,2.55863e-12,1,1,1,1,1,1,1,1,1,1,1
"8","79.9456",0.997379,0.0028682,10,1023,0,-77.1662,0.0101595,-6.92158,1.66957,-0.429979,0.0886522,1.01021,1.01021,0.000986268,0.000986268,5.30987,5.30987,0.650523,0.650523,0.00133365,0.00133365,0.00123411,0.00123411,0.000395611,0.000395611,2.94756e-05,2.94756e-05,1.00077e-05,1.00077e-05,3.42309e-06,3.42309e-06,8.33301e-07,8.33301e-07,0.00133365,0.00123411,0.000395611,2.94756e-05,1.00077e-05,3.42309e-06,8.33301e-07,0.00133365,0.00133365,0.00133365,0.00133365,0.00133365,0.00133365,0.00133365,0.00133365,0.00133365,0.00133365,0.00133365,1,1,1,1,1,1,1,1,1,1,1,0.00123411,0.00123411,0.00123411,0.00123411,0.00123411,0.00123411,0.00123411,0.00123411,0.00123411,0.00123411,0.00123411,1,1,1,1,1,1,1,1,1,1,1,0.000395611,0.000395611,0.000395611,0.000395611,0.000395611,0.000395611,0.000395611,0.000395611,0.000395611,0.000395611,0.000395611,1,1,1,1,1,1,1,1,1,1,1,2.94756e-05,2.94756e-05,2.94756e-05,2.94756e-05,2.94756e-05,2.94756e-05,2.94756e-05,2.94756e-05,2.94756e-05,2.94756e-05,2.94756e-05,1,1,1,1,1,1,1,1,1,1,1,1.00077e-05,1.00077e-05,1.00077e-05,1.00077e-05,1.00077e-05,1.00077e-05,1.00077e-05,1.00077e-05,1.00077e-05,1.00077e-05,1.00077e-05,1,1,1,1,1,1,1,1,1,1,1,3.42309e-06,3.42309e-06,3.42309e-06,3.42309e-06,3.42309e-06,3.42309e-06,3.42309e-06,3.42309e-06,3.42309e-06,3.42309e-06,3.42309e-06,1,1,1,1,1,1,1,1,1,1,1,8.33301e-07,8.33301e-07,8.33301e-07,8.33301e-07,8.33301e-07,8.33301e-07,8.33301e-07,8.33301e-07,8.33301e-07,8.33301e-07,8.33301e-07,1,1,1,1,1,1,1,1,1,1,1
"9","82.1592",0.999193,0.0028682,10,1023,0,-80.3962,0.010528,-6.04689,3.42491,-0.839468,0.0586523,1.01058,1.01058,0.00236521,0.00236521,30.7199,30.7199,0.43194,0.43194,0.00249288,0.00249288,0.00225882,0.00225882,0.000493679,0.000493679,1.15349e-05,1.15349e-05,2.30912e-06,2.30912e-06,4.63129e-07,4.63129e-07,5.54531e-08,5.54531e-08,0.00249288,0.00225882,0.000493679,1.15349e-05,2.30912e-06,4.63129e-07,5.54531e-08,0.00249288,0.00249288,0.00249288,0.00249288,0.00249288,0.00249288,0.00249288,0.00249288,0.00249288,0.00249288,0.00249288,1,1,1,1,1,1,1,1,1,1,1,0.00225882,0.00225882,0.00225882,0.00225882,0.00225882,0.00225882,0.00225882,0.00225882,0.00225882,0.00225882,0.00225882,1,1,1,1,1,1,1,1,1,1,1,0.000493679,0.000493679,0.000493679,0.000493679,0.000493679,0.000493679,0.000493679,0.000493679,0.000493679,0.000493679,0.000493679,1,1,1,1,1,1,1,1,1,1,1,1.15349e-05,1.15349e-05,1.15349e-05,1.15349e-05,1.15349e-05,1.15349e-05,1.15349e-05,1.15349e-05,1.15349e-05,1.15349e-05,1.15349e-05,1,1,1,1,1,1,1,1,1,1,1,2.30912e-06,2.30912e-06,2.30912e-06,2.30912e-06,2.30912e-06,2.30912e-06,2.30912e-06,2.30912e-06,2.30912e-06,2.30912e-06,2.30912e-06,1,1,1,1,1,1,1,1,1,1,1,4.63129e-07,4.63129e-07,4.63129e-07,4.63129e-07,4.63129e-07,4.63129e-07,4.63129e-07,4.63129e-07,4.63129e-07,4.63129e-07,4.63129e-07,1,1,1,1,1,1,1,1,1,1,1,5.54531e-08,5.54531e-08,5.54531e-08,5.54531e-08,5.54531e-08,5.54531e-08,5.54531e-08,5.54531e-08,5.54531e-08,5.54531e-08,5.54531e-08,1,1,1,1,1,1,1,1,1,1,1
"10","79.8376",0.621741,0.0028682,7,151,0,-77.2663,-0.00102262,-2.902,5.01225,0.880305,0.0677867,0.998978,0.998978,0.0549133,0.0549133,150.242,150.242,2.41163,2.41163,0.054835,0.054835,0.0538992,0.0538992,0.0412528,0.0412528,0.0211417,0.0211417,0.0158583,0.0158583,0.0118961,0.0118961,0.00813535,0.00813535,0.054835,0.0538992,0.0412528,0.0211417,0.0158583,0.0118961,0.00813535,0.054835,0.054835,0.054835,0.054835,0.054835,0.054835,0.054835,0.054835,0.054835,0.054835,0.054835,1,1,1,1,1,1,1,1,1,1,1,0.0538992,0.0538992,0.0538992,0.0538992,0.0538992,0.0538992,0.0538992,0.0538992,0.0538992,0.0538992,0.0538992,1,1,1,1,1,1,1,1,1,1,1,0.0412528,0.0412528,0.0412528,0.0412528,0.0412528,0.0412528,0.0412528,0.0412528,0.0412528,0.0412528,0.0412528,1,1,1,1,1,1,1,1,1,1,1,0.0211417,0.0211417,0.0211417,0.0211417,0.0211417,0.0211417,0.0211417,0.0211417,0.0211417,0.0211417,0.0211417,1,1,1,1,1,1,1,1,1,1,1,0.0158583,0.0158583,0.0158583,0.0158583,0.0158583,0.0158583,0.0158583,0.0158583,0.0158583,0.0158583,0.0158583,1,1,1,1,1,1,1,1,1,1,1,0.0118961,0.0118961,0.0118961,0.0118961,0.0118961,0.0118961,0.0118961,0.0118961,0.0118961,0.0118961,0.0118961,1,1,1,1,1,1,1,1,1,1,1,0.00813535,0.00813535,0.00813535,0.00813535,0.00813535,0.00813535,0.00813535,0.00813535,0.00813535,0.00813535,0.00813535,1,1,1,1,1,1,1,1,1,1,1
