"","lp__","accept_stat__","stepsize__","treedepth__","n_leapfrog__","divergent__","energy__","m_y0","m_x0","m_Emax","m_n","sigma_y","y0.1","y0.2","x0.1","x0.2","Emax.1","Emax.2","n.1","n.2","ec99.1","ec99.2","ec95.1","ec95.2","ec50.1","ec50.2","ec10.1","ec10.2","ec05.1","ec05.2","ec025.1","ec025.2","ec01.1","ec01.2","ec99_median","ec95_median","ec50_median","ec10_median","ec05_median","ec025_median","ec01_median","ec99_quants.1","ec99_quants.2","ec99_quants.3","ec99_quants.4","ec99_quants.5","ec99_quants.6","ec99_quants.7","ec99_quants.8","ec99_quants.9","ec99_quants.10","ec99_quants.11","ec99_quant_ratios.1","ec99_quant_ratios.2","ec99_quant_ratios.3","ec99_quant_ratios.4","ec99_quant_ratios.5","ec99_quant_ratios.6","ec99_quant_ratios.7","ec99_quant_ratios.8","ec99_quant_ratios.9","ec99_quant_ratios.10","ec99_quant_ratios.11","ec95_quants.1","ec95_quants.2","ec95_quants.3","ec95_quants.4","ec95_quants.5","ec95_quants.6","ec95_quants.7","ec95_quants.8","ec95_quants.9","ec95_quants.10","ec95_quants.11","ec95_quant_ratios.1","ec95_quant_ratios.2","ec95_quant_ratios.3","ec95_quant_ratios.4","ec95_quant_ratios.5","ec95_quant_ratios.6","ec95_quant_ratios.7","ec95_quant_ratios.8","ec95_quant_ratios.9","ec95_quant_ratios.10","ec95_quant_ratios.11","ec50_quants.1","ec50_quants.2","ec50_quants.3","ec50_quants.4","ec50_quants.5","ec50_quants.6","ec50_quants.7","ec50_quants.8","ec50_quants.9","ec50_quants.10","ec50_quants.11","ec50_quant_ratios.1","ec50_quant_ratios.2","ec50_quant_ratios.3","ec50_quant_ratios.4","ec50_quant_ratios.5","ec50_quant_ratios.6","ec50_quant_ratios.7","ec50_quant_ratios.8","ec50_quant_ratios.9","ec50_quant_ratios.10","ec50_quant_ratios.11","ec10_quants.1","ec10_quants.2","ec10_quants.3","ec10_quants.4","ec10_quants.5","ec10_quants.6","ec10_quants.7","ec10_quants.8","ec10_quants.9","ec10_quants.10","ec10_quants.11","ec10_quant_ratios.1","ec10_quant_ratios.2","ec10_quant_ratios.3","ec10_quant_ratios.4","ec10_quant_ratios.5","ec10_quant_ratios.6","ec10_quant_ratios.7","ec10_quant_ratios.8","ec10_quant_ratios.9","ec10_quant_ratios.10","ec10_quant_ratios.11","ec05_quants.1","ec05_quants.2","ec05_quants.3","ec05_quants.4","ec05_quants.5","ec05_quants.6","ec05_quants.7","ec05_quants.8","ec05_quants.9","ec05_quants.10","ec05_quants.11","ec05_quant_ratios.1","ec05_quant_ratios.2","ec05_quant_ratios.3","ec05_quant_ratios.4","ec05_quant_ratios.5","ec05_quant_ratios.6","ec05_quant_ratios.7","ec05_quant_ratios.8","ec05_quant_ratios.9","ec05_quant_ratios.10","ec05_quant_ratios.11","ec025_quants.1","ec025_quants.2","ec025_quants.3","ec025_quants.4","ec025_quants.5","ec025_quants.6","ec025_quants.7","ec025_quants.8","ec025_quants.9","ec025_quants.10","ec025_quants.11","ec025_quant_ratios.1","ec025_quant_ratios.2","ec025_quant_ratios.3","ec025_quant_ratios.4","ec025_quant_ratios.5","ec025_quant_ratios.6","ec025_quant_ratios.7","ec025_quant_ratios.8","ec025_quant_ratios.9","ec025_quant_ratios.10","ec025_quant_ratios.11","ec01_quants.1","ec01_quants.2","ec01_quants.3","ec01_quants.4","ec01_quants.5","ec01_quants.6","ec01_quants.7","ec01_quants.8","ec01_quants.9","ec01_quants.10","ec01_quants.11","ec01_quant_ratios.1","ec01_quant_ratios.2","ec01_quant_ratios.3","ec01_quant_ratios.4","ec01_quant_ratios.5","ec01_quant_ratios.6","ec01_quant_ratios.7","ec01_quant_ratios.8","ec01_quant_ratios.9","ec01_quant_ratios.10","ec01_quant_ratios.11"
"1","191",0.964501,0.022286,6,127,0,-188.922,0.0082341,-4.78002,0.458534,-0.638537,0.129193,1.00827,1.00827,0.00839586,0.00839586,1.58175,1.58175,0.528064,0.528064,0.0530162,0.0530162,0.0433207,0.0433207,0.00463963,0.00463963,0.000121358,0.000121358,3.06697e-05,3.06697e-05,8.00446e-06,8.00446e-06,1.38632e-06,1.38632e-06,0.0530162,0.0433207,0.00463963,0.000121358,3.06697e-05,8.00446e-06,1.38632e-06,0.0530162,0.0530162,0.0530162,0.0530162,0.0530162,0.0530162,0.0530162,0.0530162,0.0530162,0.0530162,0.0530162,1,1,1,1,1,1,1,1,1,1,1,0.0433207,0.0433207,0.0433207,0.0433207,0.0433207,0.0433207,0.0433207,0.0433207,0.0433207,0.0433207,0.0433207,1,1,1,1,1,1,1,1,1,1,1,0.00463963,0.00463963,0.00463963,0.00463963,0.00463963,0.00463963,0.00463963,0.00463963,0.00463963,0.00463963,0.00463963,1,1,1,1,1,1,1,1,1,1,1,0.000121358,0.000121358,0.000121358,0.000121358,0.000121358,0.000121358,0.000121358,0.000121358,0.000121358,0.000121358,0.000121358,1,1,1,1,1,1,1,1,1,1,1,3.06697e-05,3.06697e-05,3.06697e-05,3.06697e-05,3.06697e-05,3.06697e-05,3.06697e-05,3.06697e-05,3.06697e-05,3.06697e-05,3.06697e-05,1,1,1,1,1,1,1,1,1,1,1,8.00446e-06,8.00446e-06,8.00446e-06,8.00446e-06,8.00446e-06,8.00446e-06,8.00446e-06,8.00446e-06,8.00446e-06,8.00446e-06,8.00446e-06,1,1,1,1,1,1,1,1,1,1,1,1.38632e-06,1.38632e-06,1.38632e-06,1.38632e-06,1.38632e-06,1.38632e-06,1.38632e-06,1.38632e-06,1.38632e-06,1.38632e-06,1.38632e-06,1,1,1,1,1,1,1,1,1,1,1
"2","189.195",0.999898,0.022286,7,127,0,-188.789,0.0340008,-2.01016,5.68081,-1.87175,0.123046,1.03459,1.03459,0.133967,0.133967,293.186,293.186,0.153854,0.153854,0.128285,0.128285,0.0980326,0.0980326,0.001497,0.001497,4.24911e-08,4.24911e-08,4.69054e-10,4.69054e-10,5.1807e-12,5.1807e-12,1.34205e-14,1.34205e-14,0.128285,0.0980326,0.001497,4.24911e-08,4.69054e-10,5.1807e-12,1.34205e-14,0.128285,0.128285,0.128285,0.128285,0.128285,0.128285,0.128285,0.128285,0.128285,0.128285,0.128285,1,1,1,1,1,1,1,1,1,1,1,0.0980326,0.0980326,0.0980326,0.0980326,0.0980326,0.0980326,0.0980326,0.0980326,0.0980326,0.0980326,0.0980326,1,1,1,1,1,1,1,1,1,1,1,0.001497,0.001497,0.001497,0.001497,0.001497,0.001497,0.001497,0.001497,0.001497,0.001497,0.001497,1,1,1,1,1,1,1,1,1,1,1,4.24911e-08,4.24911e-08,4.24911e-08,4.24911e-08,4.24911e-08,4.24911e-08,4.24911e-08,4.24911e-08,4.24911e-08,4.24911e-08,4.24911e-08,1,1,1,1,1,1,1,1,1,1,1,4.69054e-10,4.69054e-10,4.69054e-10,4.69054e-10,4.69054e-10,4.69054e-10,4.69054e-10,4.69054e-10,4.69054e-10,4.69054e-10,4.69054e-10,1,1,1,1,1,1,1,1,1,1,1,5.1807e-12,5.1807e-12,5.1807e-12,5.1807e-12,5.1807e-12,5.1807e-12,5.1807e-12,5.1807e-12,5.1807e-12,5.1807e-12,5.1807e-12,1,1,1,1,1,1,1,1,1,1,1,1.34205e-14,1.34205e-14,1.34205e-14,1.34205e-14,1.34205e-14,1.34205e-14,1.34205e-14,1.34205e-14,1.34205e-14,1.34205e-14,1.34205e-14,1,1,1,1,1,1,1,1,1,1,1
"3","192.681",0.995131,0.022286,7,127,0,-190.691,0.00970534,-3.93134,1.10813,-1.4389,0.11668,1.00975,1.00975,0.0196173,0.0196173,3.02869,3.02869,0.237188,0.237188,0.099769,0.099769,0.0772506,0.0772506,0.00225863,0.00225863,1.3742e-06,1.3742e-06,6.88482e-08,6.88482e-08,3.57624e-09,3.57624e-09,7.35469e-11,7.35469e-11,0.099769,0.0772506,0.00225863,1.3742e-06,6.88482e-08,3.57624e-09,7.35469e-11,0.099769,0.099769,0.099769,0.099769,0.099769,0.099769,0.099769,0.099769,0.099769,0.099769,0.099769,1,1,1,1,1,1,1,1,1,1,1,0.0772506,0.0772506,0.0772506,0.0772506,0.0772506,0.0772506,0.0772506,0.0772506,0.0772506,0.0772506,0.0772506,1,1,1,1,1,1,1,1,1,1,1,0.00225863,0.00225863,0.00225863,0.00225863,0.00225863,0.00225863,0.00225863,0.00225863,0.00225863,0.00225863,0.00225863,1,1,1,1,1,1,1,1,1,1,1,1.3742e-06,1.3742e-06,1.3742e-06,1.3742e-06,1.3742e-06,1.3742e-06,1.3742e-06,1.3742e-06,1.3742e-06,1.3742e-06,1.3742e-06,1,1,1,1,1,1,1,1,1,1,1,6.88482e-08,6.88482e-08,6.88482e-08,6.88482e-08,6.88482e-08,6.88482e-08,6.88482e-08,6.88482e-08,6.88482e-08,6.88482e-08,6.88482e-08,1,1,1,1,1,1,1,1,1,1,1,3.57624e-09,3.57624e-09,3.57624e-09,3.57624e-09,3.57624e-09,3.57624e-09,3.57624e-09,3.57624e-09,3.57624e-09,3.57624e-09,3.57624e-09,1,1,1,1,1,1,1,1,1,1,1,7.35469e-11,7.35469e-11,7.35469e-11,7.35469e-11,7.35469e-11,7.35469e-11,7.35469e-11,7.35469e-11,7.35469e-11,7.35469e-11,7.35469e-11,1,1,1,1,1,1,1,1,1,1,1
"4","190.962",0.998144,0.022286,7,127,0,-189.687,0.00600464,-2.48473,2.44596,-1.48264,0.119997,1.00602,1.00602,0.0833485,0.0833485,11.5417,11.5417,0.227038,0.227038,0.118364,0.118364,0.0970707,0.0970707,0.00478316,0.00478316,3.41194e-06,3.41194e-06,1.58038e-07,1.58038e-07,7.39101e-09,7.39101e-09,1.29859e-10,1.29859e-10,0.118364,0.0970707,0.00478316,3.41194e-06,1.58038e-07,7.39101e-09,1.29859e-10,0.118364,0.118364,0.118364,0.118364,0.118364,0.118364,0.118364,0.118364,0.118364,0.118364,0.118364,1,1,1,1,1,1,1,1,1,1,1,0.0970707,0.0970707,0.0970707,0.0970707,0.0970707,0.0970707,0.0970707,0.0970707,0.0970707,0.0970707,0.0970707,1,1,1,1,1,1,1,1,1,1,1,0.00478316,0.00478316,0.00478316,0.00478316,0.00478316,0.00478316,0.00478316,0.00478316,0.00478316,0.00478316,0.00478316,1,1,1,1,1,1,1,1,1,1,1,3.41194e-06,3.41194e-06,3.41194e-06,3.41194e-06,3.41194e-06,3.41194e-06,3.41194e-06,3.41194e-06,3.41194e-06,3.41194e-06,3.41194e-06,1,1,1,1,1,1,1,1,1,1,1,1.58038e-07,1.58038e-07,1.58038e-07,1.58038e-07,1.58038e-07,1.58038e-07,1.58038e-07,1.58038e-07,1.58038e-07,1.58038e-07,1.58038e-07,1,1,1,1,1,1,1,1,1,1,1,7.39101e-09,7.39101e-09,7.39101e-09,7.39101e-09,7.39101e-09,7.39101e-09,7.39101e-09,7.39101e-09,7.39101e-09,7.39101e-09,7.39101e-09,1,1,1,1,1,1,1,1,1,1,1,1.29859e-10,1.29859e-10,1.29859e-10,1.29859e-10,1.29859e-10,1.29859e-10,1.29859e-10,1.29859e-10,1.29859e-10,1.29859e-10,1.29859e-10,1,1,1,1,1,1,1,1,1,1,1
"5","189.366",0.994648,0.022286,6,95,0,-185.04,0.0114915,-5.67139,0.897179,-1.83774,0.116975,1.01156,1.01156,0.00344309,0.00344309,2.45267,2.45267,0.159177,0.159177,0.0831489,0.0831489,0.0541651,0.0541651,0.000185267,0.000185267,2.33461e-09,2.33461e-09,2.6283e-11,2.6283e-11,3.16425e-13,3.16425e-13,9.62684e-16,9.62684e-16,0.0831489,0.0541651,0.000185267,2.33461e-09,2.6283e-11,3.16425e-13,9.62684e-16,0.0831489,0.0831489,0.0831489,0.0831489,0.0831489,0.0831489,0.0831489,0.0831489,0.0831489,0.0831489,0.0831489,1,1,1,1,1,1,1,1,1,1,1,0.0541651,0.0541651,0.0541651,0.0541651,0.0541651,0.0541651,0.0541651,0.0541651,0.0541651,0.0541651,0.0541651,1,1,1,1,1,1,1,1,1,1,1,0.000185267,0.000185267,0.000185267,0.000185267,0.000185267,0.000185267,0.000185267,0.000185267,0.000185267,0.000185267,0.000185267,1,1,1,1,1,1,1,1,1,1,1,2.33461e-09,2.33461e-09,2.33461e-09,2.33461e-09,2.33461e-09,2.33461e-09,2.33461e-09,2.33461e-09,2.33461e-09,2.33461e-09,2.33461e-09,1,1,1,1,1,1,1,1,1,1,1,2.6283e-11,2.6283e-11,2.6283e-11,2.6283e-11,2.6283e-11,2.6283e-11,2.6283e-11,2.6283e-11,2.6283e-11,2.6283e-11,2.6283e-11,1,1,1,1,1,1,1,1,1,1,1,3.16425e-13,3.16425e-13,3.16425e-13,3.16425e-13,3.16425e-13,3.16425e-13,3.16425e-13,3.16425e-13,3.16425e-13,3.16425e-13,3.16425e-13,1,1,1,1,1,1,1,1,1,1,1,9.62684e-16,9.62684e-16,9.62684e-16,9.62684e-16,9.62684e-16,9.62684e-16,9.62684e-16,9.62684e-16,9.62684e-16,9.62684e-16,9.62684e-16,1,1,1,1,1,1,1,1,1,1,1
"6","191.253",0.998872,0.022286,7,127,0,-188.876,0.0235457,-2.3406,2.94466,-1.67639,0.128668,1.02383,1.02383,0.0962702,0.0962702,19.0043,19.0043,0.187048,0.187048,0.121443,0.121443,0.0962641,0.0962641,0.00272912,0.00272912,4.46184e-07,4.46184e-07,1.08145e-08,1.08145e-08,2.6398e-10,2.6398e-10,1.96001e-12,1.96001e-12,0.121443,0.0962641,0.00272912,4.46184e-07,1.08145e-08,2.6398e-10,1.96001e-12,0.121443,0.121443,0.121443,0.121443,0.121443,0.121443,0.121443,0.121443,0.121443,0.121443,0.121443,1,1,1,1,1,1,1,1,1,1,1,0.0962641,0.0962641,0.0962641,0.0962641,0.0962641,0.0962641,0.0962641,0.0962641,0.0962641,0.0962641,0.0962641,1,1,1,1,1,1,1,1,1,1,1,0.00272912,0.00272912,0.00272912,0.00272912,0.00272912,0.00272912,0.00272912,0.00272912,0.00272912,0.00272912,0.00272912,1,1,1,1,1,1,1,1,1,1,1,4.46184e-07,4.46184e-07,4.46184e-07,4.46184e-07,4.46184e-07,4.46184e-07,4.46184e-07,4.46184e-07,4.46184e-07,4.46184e-07,4.46184e-07,1,1,1,1,1,1,1,1,1,1,1,1.08145e-08,1.08145e-08,1.08145e-08,1.08145e-08,1.08145e-08,1.08145e-08,1.08145e-08,1.08145e-08,1.08145e-08,1.08145e-08,1.08145e-08,1,1,1,1,1,1,1,1,1,1,1,2.6398e-10,2.6398e-10,2.6398e-10,2.6398e-10,2.6398e-10,2.6398e-10,2.6398e-10,2.6398e-10,2.6398e-10,2.6398e-10,2.6398e-10,1,1,1,1,1,1,1,1,1,1,1,1.96001e-12,1.96001e-12,1.96001e-12,1.96001e-12,1.96001e-12,1.96001e-12,1.96001e-12,1.96001e-12,1.96001e-12,1.96001e-12,1.96001e-12,1,1,1,1,1,1,1,1,1,1,1
"7","189.654",0.998891,0.022286,7,127,0,-185.419,0.0363073,-1.62053,4.89128,-1.74246,0.126718,1.03697,1.03697,0.197794,0.197794,133.124,133.124,0.17509,0.17509,0.194895,0.194895,0.153727,0.153727,0.0038571,0.0038571,3.86127e-07,3.86127e-07,7.35379e-09,7.35379e-09,1.40203e-10,1.40203e-10,7.47662e-13,7.47662e-13,0.194895,0.153727,0.0038571,3.86127e-07,7.35379e-09,1.40203e-10,7.47662e-13,0.194895,0.194895,0.194895,0.194895,0.194895,0.194895,0.194895,0.194895,0.194895,0.194895,0.194895,1,1,1,1,1,1,1,1,1,1,1,0.153727,0.153727,0.153727,0.153727,0.153727,0.153727,0.153727,0.153727,0.153727,0.153727,0.153727,1,1,1,1,1,1,1,1,1,1,1,0.0038571,0.0038571,0.0038571,0.0038571,0.0038571,0.0038571,0.0038571,0.0038571,0.0038571,0.0038571,0.0038571,1,1,1,1,1,1,1,1,1,1,1,3.86127e-07,3.86127e-07,3.86127e-07,3.86127e-07,3.86127e-07,3.86127e-07,3.86127e-07,3.86127e-07,3.86127e-07,3.86127e-07,3.86127e-07,1,1,1,1,1,1,1,1,1,1,1,7.35379e-09,7.35379e-09,7.35379e-09,7.35379e-09,7.35379e-09,7.35379e-09,7.35379e-09,7.35379e-09,7.35379e-09,7.35379e-09,7.35379e-09,1,1,1,1,1,1,1,1,1,1,1,1.40203e-10,1.40203e-10,1.40203e-10,1.40203e-10,1.40203e-10,1.40203e-10,1.40203e-10,1.40203e-10,1.40203e-10,1.40203e-10,1.40203e-10,1,1,1,1,1,1,1,1,1,1,1,7.47662e-13,7.47662e-13,7.47662e-13,7.47662e-13,7.47662e-13,7.47662e-13,7.47662e-13,7.47662e-13,7.47662e-13,7.47662e-13,7.47662e-13,1,1,1,1,1,1,1,1,1,1,1
"8","186.919",0.999731,0.022286,7,127,0,-183.16,0.0390426,-1.76749,3.02489,-1.94002,0.121863,1.03981,1.03981,0.17076,0.17076,20.5917,20.5917,0.143701,0.143701,0.224348,0.224348,0.166003,0.166003,0.00162871,0.00162871,1.94183e-08,1.94183e-08,1.53466e-10,1.53466e-10,1.22322e-12,1.22322e-12,2.07052e-15,2.07052e-15,0.224348,0.166003,0.00162871,1.94183e-08,1.53466e-10,1.22322e-12,2.07052e-15,0.224348,0.224348,0.224348,0.224348,0.224348,0.224348,0.224348,0.224348,0.224348,0.224348,0.224348,1,1,1,1,1,1,1,1,1,1,1,0.166003,0.166003,0.166003,0.166003,0.166003,0.166003,0.166003,0.166003,0.166003,0.166003,0.166003,1,1,1,1,1,1,1,1,1,1,1,0.00162871,0.00162871,0.00162871,0.00162871,0.00162871,0.00162871,0.00162871,0.00162871,0.00162871,0.00162871,0.00162871,1,1,1,1,1,1,1,1,1,1,1,1.94183e-08,1.94183e-08,1.94183e-08,1.94183e-08,1.94183e-08,1.94183e-08,1.94183e-08,1.94183e-08,1.94183e-08,1.94183e-08,1.94183e-08,1,1,1,1,1,1,1,1,1,1,1,1.53466e-10,1.53466e-10,1.53466e-10,1.53466e-10,1.53466e-10,1.53466e-10,1.53466e-10,1.53466e-10,1.53466e-10,1.53466e-10,1.53466e-10,1,1,1,1,1,1,1,1,1,1,1,1.22322e-12,1.22322e-12,1.22322e-12,1.22322e-12,1.22322e-12,1.22322e-12,1.22322e-12,1.22322e-12,1.22322e-12,1.22322e-12,1.22322e-12,1,1,1,1,1,1,1,1,1,1,1,2.07052e-15,2.07052e-15,2.07052e-15,2.07052e-15,2.07052e-15,2.07052e-15,2.07052e-15,2.07052e-15,2.07052e-15,2.07052e-15,2.07052e-15,1,1,1,1,1,1,1,1,1,1,1
"9","190.35",0.989888,0.022286,7,255,0,-185.68,0.027224,-4.70308,1.05863,-1.66713,0.127861,1.0276,1.0276,0.00906733,0.00906733,2.88242,2.88242,0.188787,0.188787,0.0798593,0.0798593,0.0574554,0.0574554,0.0006327,0.0006327,5.51742e-08,5.51742e-08,1.27708e-09,1.27708e-09,3.10067e-11,3.10067e-11,2.35253e-13,2.35253e-13,0.0798593,0.0574554,0.0006327,5.51742e-08,1.27708e-09,3.10067e-11,2.35253e-13,0.0798593,0.0798593,0.0798593,0.0798593,0.0798593,0.0798593,0.0798593,0.0798593,0.0798593,0.0798593,0.0798593,1,1,1,1,1,1,1,1,1,1,1,0.0574554,0.0574554,0.0574554,0.0574554,0.0574554,0.0574554,0.0574554,0.0574554,0.0574554,0.0574554,0.0574554,1,1,1,1,1,1,1,1,1,1,1,0.0006327,0.0006327,0.0006327,0.0006327,0.0006327,0.0006327,0.0006327,0.0006327,0.0006327,0.0006327,0.0006327,1,1,1,1,1,1,1,1,1,1,1,5.51742e-08,5.51742e-08,5.51742e-08,5.51742e-08,5.51742e-08,5.51742e-08,5.51742e-08,5.51742e-08,5.51742e-08,5.51742e-08,5.51742e-08,1,1,1,1,1,1,1,1,1,1,1,1.27708e-09,1.27708e-09,1.27708e-09,1.27708e-09,1.27708e-09,1.27708e-09,1.27708e-09,1.27708e-09,1.27708e-09,1.27708e-09,1.27708e-09,1,1,1,1,1,1,1,1,1,1,1,3.10067e-11,3.10067e-11,3.10067e-11,3.10067e-11,3.10067e-11,3.10067e-11,3.10067e-11,3.10067e-11,3.10067e-11,3.10067e-11,3.10067e-11,1,1,1,1,1,1,1,1,1,1,1,2.35253e-13,2.35253e-13,2.35253e-13,2.35253e-13,2.35253e-13,2.35253e-13,2.35253e-13,2.35253e-13,2.35253e-13,2.35253e-13,2.35253e-13,1,1,1,1,1,1,1,1,1,1,1
"10","186.648",0.998212,0.022286,7,127,0,-183.871,0.0294887,-2.11052,3.87701,-1.34117,0.13319,1.02993,1.02993,0.121174,0.121174,48.2796,48.2796,0.26154,0.26154,0.126219,0.126219,0.107458,0.107458,0.00890653,0.00890653,1.8338e-05,1.8338e-05,1.29015e-06,1.29015e-06,9.09474e-08,9.09474e-08,2.73369e-09,2.73369e-09,0.126219,0.107458,0.00890653,1.8338e-05,1.29015e-06,9.09474e-08,2.73369e-09,0.126219,0.126219,0.126219,0.126219,0.126219,0.126219,0.126219,0.126219,0.126219,0.126219,0.126219,1,1,1,1,1,1,1,1,1,1,1,0.107458,0.107458,0.107458,0.107458,0.107458,0.107458,0.107458,0.107458,0.107458,0.107458,0.107458,1,1,1,1,1,1,1,1,1,1,1,0.00890653,0.00890653,0.00890653,0.00890653,0.00890653,0.00890653,0.00890653,0.00890653,0.00890653,0.00890653,0.00890653,1,1,1,1,1,1,1,1,1,1,1,1.8338e-05,1.8338e-05,1.8338e-05,1.8338e-05,1.8338e-05,1.8338e-05,1.8338e-05,1.8338e-05,1.8338e-05,1.8338e-05,1.8338e-05,1,1,1,1,1,1,1,1,1,1,1,1.29015e-06,1.29015e-06,1.29015e-06,1.29015e-06,1.29015e-06,1.29015e-06,1.29015e-06,1.29015e-06,1.29015e-06,1.29015e-06,1.29015e-06,1,1,1,1,1,1,1,1,1,1,1,9.09474e-08,9.09474e-08,9.09474e-08,9.09474e-08,9.09474e-08,9.09474e-08,9.09474e-08,9.09474e-08,9.09474e-08,9.09474e-08,9.09474e-08,1,1,1,1,1,1,1,1,1,1,1,2.73369e-09,2.73369e-09,2.73369e-09,2.73369e-09,2.73369e-09,2.73369e-09,2.73369e-09,2.73369e-09,2.73369e-09,2.73369e-09,2.73369e-09,1,1,1,1,1,1,1,1,1,1,1
