Chemical.Number,Chemical.Name,Chemical.CAS,Chemical.Class,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Pred.TdP.risk.5Pheno,Predicted_QT.TdP.risk_Lable,Css,seem3,seem3.u95
15,Pyraclostrobin,175013-18-0,Microbiocide,55.19895,0.0773695,3.516315,32.114,70.8104,0.871614464,Positive,3.697,1.48E-07,9.12E-05
46,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,Pesticide,16.36465,3.324105,2.97678,124.8985,83.11675,0.660494144,Positive,0.003252,1.07E-05,5.65E-03
49,EPN,2104-64-5,Pesticide,103.008,1.825375,0.781171,165.5075,300,0.773262665,Positive,6.741,1.02E-07,2.81E-07
61,Cyfluthrin,68359-37-5,Pesticide,84.363,0.000773298,300,300,300,0.949127173,Positive,5.426,2.33E-07,9.78E-06
75,Forchlorfenuron,68157-60-8,Herbicide,170.734,48.5173,6.71943,300,26.3842,0.419202352,Positive,1.206,2.30E-07,2.98E-04
86,Perfluorooctanesulfonamide,754-91-6,Surfactant,246.473,2.268125,0.6365515,300,300,0.802865029,Positive,10.63,2.08E-07,3.45E-05
104,Triflumizole,68694-11-1,Microbiocide,35.5802,11.90275,6.365725,100.23695,300,0.359204239,Positive,3.831,9.01E-07,1.36E-03
119,"2-Methyl-4,6-dinitrophenol",534-52-1,Pesticide,234.287,5.0325,197.9215,300,35.2476,0.365090402,Positive,737.8,5.77E-06,2.13E-03
123,Cyprodinil,121552-61-2,Microbiocide,1.307605,295.2375,1.64369,300,87.0541,0.287577388,Positive,6.916,1.95E-06,1.34E-03
126,Pyrimethanil,53112-28-0,Microbiocide,1.651255,293.8745,0.0279035,300,300,0.570408052,Positive,1.376,3.56E-07,1.73E-04
142,"2,6-Diethylaniline",579-66-8,Chemical intermediate,211.616,10.1871,8.171155,300,300,0.445542734,Positive,1.173,2.12E-04,2.75E+00
147,Flufenpyr-ethyl,188489-07-8,Herbicide,300,4.758195,46.23605,300,300,0.379991293,Positive,0.01273,8.90E-08,4.66E-05
154,Boscalid,188425-85-6,Microbiocide,2.490365,104.193,1.288485,300,201.2725,0.371560919,Positive,1.143,1.89E-07,1.26E-04
155,Dodecyltrimethylammonium_chloride,112-00-5,Microbiocide,223.774,4.76944,0.4253375,51.04235,300,0.640345901,Positive,0.9518,3.08E-05,1.06E-01
159,Tebuconazole,107534-96-3,Pesticide,9.134305,9.92037,0.2155505,300,11.55215,0.865437589,Positive,4.041,2.34E-07,3.02E-05
162,Coumarin,91-64-5,Food flavor fragrance,16.11065,300,0.09171335,300,300,0.45810471,Positive,14.26,1.30E-05,0.24
175,"1,3-Diphenylguanidine",102-06-7,Chemical intermediate,300,0.1439415,1.38764,123.1265,300,0.890712365,Positive,2.392,2.49E-06,3.88E-03
189,Methidathion,950-37-8,Pesticide,300,77.14335,1.626455,300,291.0265,0.35917725,Positive,0.7462,1.15E-07,3.05E-07
190,2-Amino-5-azotoluene,97-56-3,Chemical intermediate,10.6654,24.29405,27.8355,300,7.62347,0.44567044,Positive,14.78,2.11E-06,1.52E-03
207,Hydramethylnon,67485-29-4,Pesticide,300,4.720045,2.76932,291.7035,115.143,0.676357653,Positive,882.6,NA,NA
243,Methylparaben,99-76-3,Food additive,23.6195,300,0.790663,300,300,0.279440264,Positive,0.1847,4.15E-04,2.03E-02
261,Ammonium_perfluorooctanoate,3825-26-1,Chemical intermediate,300,0.004603995,174.306,300,300,0.907217799,Positive,247.7,9.69E-05,6.88E-02
265,Tetrabromophenolphthalein_ethyl_ester,1176-74-5,Chemical intermediate,278.7645,8.34076,10.85485,300,300,0.442978667,Positive,1614,8.85E-07,2.59E-03
272,"N,N,4-Trimethylaniline",99-97-8,Dye,300,19.23725,11.7549,300,300,0.343134846,Positive,1.535,2.50E-06,1.13E-03
274,Fenarimol,60168-88-9,Microbiocide,27.3984,95.25045,4.634645,300,55.20125,0.3395884,Positive,5.807,2.18E-07,1.81E-04
284,Thidiazuron,51707-55-2,Herbicide,300,19.5185,1.205555,300,300,0.541262527,Positive,62.12,3.31E-07,2.14E-04
292,Dimethomorph,110488-70-5,Microbiocide,20.10795,291.046,0.6603015,300,52.32695,0.384359705,Positive,0.2635,9.10E-08,9.06E-05
294,"4,4',4''-Ethane-1,1,1-triyltriphenol",27955-94-8,Plasticizer,0.7833255,50.22695,51.89345,300,3.935675,0.350128471,Positive,1.471,5.55E-07,3.64E-04
