Chemical.Number,Chemical.Name,Chemical.CAS,Chemical.Class,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Drug_lable,QT.TdP_lable_onCedibleMed,QT.TdP_Positive_k_c,FDA_study
1,mifepristone,84371-65-3,Pharmaceutical,0.611287,108.7175,171.5135,62.0657,662.832,Drug,Possible,0,
2,N-acetylprocainamide,32795-44-1,Pharmaceutical,1152.675,20.6489,10.2008,514.929,208.1575,Drug,Negative,0,
3,Propafenone,54063-53-5,Pharmaceutical,108.522,0.1459765,0.8188755,5.28142,12.55605,Drug,Conditional,1,
4,bepridil_hydrochloride,74764-40-2,Pharmaceutical.cIPA,30.37865,0.3452405,0.151551,5.68448,15.4964,Drug,Known,1,
5,citalopram_hydrobromide,59729-32-7,Pharmaceutical,150.052,2.169565,7.48513,40.91025,613.0185,Drug,Known,1,
6,disopyramide_phosphate,3737-09-5,Pharmaceutical.cIPA,972.202,118.8435,522.1555,26053.2,585.0225,Drug,Known,1,High
7,Tartaric_acid,147-71-7,Food.Additive,342.0105,824.4855,866.6755,28730.7,761.0805,,,NA,
8,Glucono-d-lactone,90-80-2,Food.Additive,127.2115,599.8075,932.7905,25307.95,408.464,,,NA,
9,Xylitol,87-99-0,Food.Additive,207.498,515.0295,480.711,27024.35,230.7805,,,NA,
10,Leucine,61-90-5,Food.Additive,403.3425,446.387,857.9485,24288.15,177.769,,,NA,
11,"3,4-Dichlorophenyl_isocyanate",102-36-3,Industrial.Chemical,2.18502,227.2755,177.829,67.85875,10.226,,,NA,
12,vernacalant,794466-70-9,Pharmaceutical,1059.81,1.97516,1.02642,8271.865,712.9615,Drug,Negative,0,
13,1-Methyl-Alpha-Ionone,7779-30-8,Food.Additive,0.615588,271.5155,391.666,71.53065,462.4575,,,NA,
14,lamotrigine,84057-84-1,Pharmaceutical,95.06425,114.589,131.2395,61.6713,410.6375,Drug,Negative,0,
15,dofetilide,115256-11-6,Pharmaceutical.cIPA,21.05965,942.167,0.000904855,26879.3,417.6335,Drug,Known,1,High
16,diltiazem,34933-06-7,Pharmaceutical.cIPA,0.0104391,29.3642,19.2705,6.66578,473.144,Drug,Conditional,1,
17,cisapride_monohydrate,81098-60-4,Pharmaceutical.cIPA,650.4305,0.000189884,6.74E-08,28225250,451.017,Drug,Known,1,intermediate
18,ranolazine,95635-55-5,Pharmaceutical.cIPA,171.0225,10.79155,1.21774,57.0984,863.9955,Drug,Conditional,1,low
19,loratadine,79794-75-5,Pharmaceutical.cIPA,0.0398353,146.988,87.03925,64.4287,229.2485,Drug,Negative,0,low
20,ibutilide_fumarate,122647-32-9,Pharmaceutical.cIPA,15.86085,0.000250466,0.01076325,64.6855,26.9891,Drug,Known,1,High
21,cabazitaxel,183133-96-2,Pharmaceutical,376.5275,19.55185,58.3859,68.03315,466.74,Drug,Negative,0,
22,Quinine.HCl.2H2O,130-95-0,Food.Additive,195.914,0.944065,1.231365,57.16605,369.301,,,NA,
23,chlorpromazine_Hydrochloride,69-09-0,Pharmaceutical.cIPA,0.584339,28.4361,11.64635,6.28631,11.9077,Drug,Known,1,intermediate
24,Isoproterenol,7683-59-2,Pharmaceutical,0.000252897,1035.035,866.2315,22648.05,190.989,Drug,Negative,0,
25,Nifedipine,21829-25-4,Pharmaceutical.cIPA,1.92322,232.7235,195.3775,63.80955,13.4923,Drug,Negative,0,low
26,Azithromycin,83905-01-5,Pharmaceutical,0.03520195,19.0827,1228.885,123.3625,184.8575,Drug,Known,1,
27,Propranolol,525-66-6,Pharmaceutical,54.32485,0.307298,32.16915,9.873665,12.7007,Drug,Negative,0,
28,sotalol_hydrochloride,959-24-0,Pharmaceutical.cIPA,972.3495,1.08316,0.285643,29641.6,381.7625,Drug,Known,1,
29,Sotalol,3930-20-9,Pharmaceutical.cIPA,1491.875,0.780726,0.0813985,69594.65,441.59,Drug,Known,1,High
30,amitriptyline_hydrochloride,549-18-8,Pharmaceutical,11.3848,1.024875,13.87755,0.702091,11.52675,Drug,Conditional,1,
31,Lisinopril,76547-98-3,Pharmaceutical,0.3583385,831.7375,131.846,26558.8,210.8835,Drug,Negative,0,
32,Ranitidine.HCl,71130-06-8,Pharmaceutical,1571.955,40.3953,13.87735,10000.48,92.26745,Drug,Negative,0,
33,nitrendipine,39562-70-4,Pharmaceutical,5.92E-07,8.644385,7.85E-05,0.7524815,12.92585,Drug,Negative,0,low
34,quinidine_sulfate,56-54-2,Pharmaceutical.cIPA,600.7155,0.1943355,0.0158683,230.9305,201.083,Drug,Known,1,High
35,sematilide,101526-83-4,Pharmaceutical,1329.22,0.5864815,0.08813295,24634.6,100.4755,Drug,Negative,0,
36,Chloroquine,54-05-7,Pharmaceutical,300.0615,462.0525,446.0705,23978.8,427.9365,Drug,Known,1,
37,moxifloxacin_hydrochloride,186826-86-8,Pharmaceutical,1140.815,10.6268,11.12655,776.636,284.683,Drug,Known,1,
38,mexiletine_hydrochloride,5370-01-4,Pharmaceutical,159.6715,3.055985,67.8203,40.9407,429.7445,Drug,Negative,0,
39,Lignocaine(Lidocaine),137-58-6,Pharmaceutical,212.2895,3.46059,95.7327,51.00225,327.6675,Drug,Negative,0,
40,Terfenadine,50679-08-8,Pharmaceutical.cIPA,28.23795,5.512085,0.03658205,5.77467,4.395385,Drug,Known,1,intermediate
41,Retinal,116-31-4,Food.Additive,0.812905,201.291,98.5414,67.84265,11.2433,,,NA,
42,Alizarin_Yellow_R(Mordant_Orange_1),2243-76-7,Food.Additive,172.175,21.8693,120.0775,58.66265,109.113,,,NA,
43,Titanocene_dichloride,1271-19-8,Industrial.Chemical,9.9398,1560.32,1199.625,28081.5,31.8371,,,NA,
44,2-Amino-4-chlorophenol,95-85-2,Industrial.Chemical,255.3195,623.903,470.255,29436.45,661.8665,,,NA,
45,Tris(2-chloroethyl)phosphate,115-96-8,Flame.Retardant,71.5204,961.6655,341.919,25530.25,106.1955,,,NA,
46,Carbaryl,63-25-2,Pesticide,19.2869,846.757,835.603,28190.75,92.3732,,,NA,
47,Chlorpyrifos,2921-88-2,Pesticide,15.87415,982.1115,640.457,75.538,15.93485,,,NA,
48,2-Methoxyethanol,109-86-4,Industrial.Chemical,22.9855,1130.005,718.793,25020.2,172.1275,,,NA,
49,Ethoxyquin,91-53-2,Food.Additive,0.6955865,212.2195,78.2231,64.78975,11.8792,,,NA,
50,"Dibenz(a,h)anthracene",53-70-3,PAH,9.10236,1055.305,855.031,25826.5,382.0325,,,NA,
51,Gentian_Violet,548-62-9,Pharmaceutical,7.619435,448.2615,0.1166625,1.11184,1.350115,Drug,Negative,0,
52,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,Pesticide,2.21105,578.331,33.96435,7.02023,1.033575,,,NA,
53,Maltol,118-71-8,Food.Additive,199.931,939.5575,528.4095,31343.95,1.071615,,,NA,
54,Acenaphthylene,208-96-8,Food.Additive,26.7975,1346.99,484.0975,28735.5,1.53983,,,NA,
55,4-Hexylresorcinol,136-77-6,Food.Additive,7.83457,43.98085,16.1458,7.860895,8.059495,,,NA,
