Chemical.Number,Chemical.Name,Chemical.CAS,Chemical.Class,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Risk.lable
1,N-Nitrosopyrrolidine,930-55-2,Other,192.113,39.10005,123.342,346.762,1787.49,
2,Isoniazid,54-85-3,Pharmaceutical,87.28095,1333.38,793.6395,41473.9,2680.195,
3,Methotrexate,59-05-2,Pharmaceutical,3.64379,236.8905,1671.985,2143.905,3779.685,
4,2-Chloroethanol,107-07-3,Solvent,0.8287745,1151.64,209.035,26431.85,3252.765,
5,Dicrotophos,141-66-2,Pesticide,36.31695,1026.685,222.2955,47063.35,3137.475,
6,Safrole,94-59-7,Food flavor fragrance,21.4892,1518.65,1000,39499.95,3246.805,
7,Triethylene_glycol_bis(2-ethylhexanoate),94-28-0,Solvent,0.828429,489.7945,101.675,12043,1789.94,
8,2-Chloro-4-phenylphenol,92-04-6,Microbiocide,0.0570461,137.618,266.254,5090.085,312.567,
9,"4-Androstene-3,17-dione",63-05-8,Pharmaceutical,71.20325,1000,398.6735,39944.95,1851.34,
10,Prednisone,53-03-2,Pharmaceutical,250.4935,126.263,166.6675,857.611,1757.495,
11,3-Phenoxybenzoic_acid,3739-38-6,Pesticide,4.208025,1307.83,1160.11,40319.9,807.5965,
12,2-[4-(Diethylamino)-2-hydroxybenzoyl]benzoic_acid,5809-23-4,Chemical intermediate,1000,180.7045,184.9665,1796.675,1390.88,
13,Formetanate_hydrochloride,23422-53-9,Pesticide,36.45845,16.6705,1000,60345.15,820.008,
14,3-Methylbutyl_acetate,123-92-2,Food flavor fragrance,3.025435,1769.34,701.7515,45643.3,2233.495,
15,Pyraclostrobin,175013-18-0,Microbiocide,55.19895,0.0773695,3.516315,32.114,70.8104,
16,"Toluene-2,4-diisocyanate",584-84-9,Chemical intermediate,0.05079255,919.6765,248.5365,30827.35,3657.95,
17,"Methyl_(RS)-2-[4-(2,4-dichlorophenoxy)phenoxy]propionate",51338-27-3,Herbicide,30.69635,797.3505,1000,24150.35,2296.65,
18,Citronellol,106-22-9,Food flavor fragrance,91.901,55.79025,126.981,9019.28,648.221,
19,Dihexyl_phthalate,84-75-3,Plasticizer,1.579145,341.12,1242.195,2623.635,3940.315,
20,N-Ethylperfluorooctanesulfonamide,4151-50-2,Pesticide,567.275,1000,132.5865,57861.7,4241.455,
21,Valproic_acid,99-66-1,Pharmaceutical,69.042,311.8515,1000,5454.545,2965.505,
22,Clorophene,120-32-1,Microbiocide,7.661215,86.28125,95.64385,5666.945,287.8725,
23,Flutamide,13311-84-7,Pharmaceutical,0.292281,214.9235,23.87555,6449.155,502.33,
24,Cyclohexylphenylketone,712-50-5,Food flavor fragrance,5.75366,136.4875,63.42905,881.311,3025.45,
25,Fenvalerate,51630-58-1,Pesticide,65.05825,5.62434,60.9039,1118.25,2242.965,
26,Dicyclohexyl_disulfide,2550-40-5,Food flavor fragrance,12.0519,1406.93,1000,35833.95,3214.595,
27,Aminoglutethimide,125-84-8,Pharmaceutical,265.4745,1000,709.7835,52170.1,3103.05,
28,Cyclopamine,4449-51-8,Pharmaceutical,1286.605,0.7928305,1000.425,13456.2,2979.68,
29,Endothal,145-73-3,Herbicide,4.62616,1292.335,1711.025,40627.55,484.8655,
30,"4,4'-Methylenebis(N,N-dimethylaniline)",101-61-1,Chemical intermediate,0.182443,464.688,849.2685,19969.2,714.598,
31,"4,4'-(9H-Fluorene-9,9-diyl)diphenol",3236-71-3,Chemical intermediate,0.0848245,48.4697,142.9125,2498.695,141.336,
32,Trifloxysulfuron-sodium,199119-58-9,Herbicide,1.819785,1206.925,291.6465,43077.95,356.2315,
33,Chlorimuron-ethyl,90982-32-4,Herbicide,2.550125,1570.415,458.8835,62795.2,198.9055,
34,Molinate,2212-67-1,Herbicide,7.314795,1175.075,219.539,38220.25,61.47985,
35,"1,2-Dichlorobenzene",95-50-1,Solvent,64.0021,511.9615,122.144,23197.25,1079.65,
36,17beta-Estradiol,50-28-2,Pharmaceutical,0.066927,280.1965,65.50205,9211.9,335.7505,
37,"1,2,3-Trichlorobenzene",87-61-6,Solvent,0.582583,1164.025,567.2195,34478.8,2610.315,
38,"2,4-Diaminotoluene",95-80-7,Chemical intermediate,0.0226164,1747.32,1000,38458.2,2268.86,
39,Chlorpyrifos_oxon,5598-15-2,Pesticide,87.3374,234.802,164.502,10545.6,696.7935,
40,Imazamox,114311-32-9,Herbicide,54.63905,1724.915,1000,41733.2,3490.58,
41,Hexythiazox,78587-05-0,Pesticide,1.54081,293.201,9.85067,8428.875,240.3245,
42,Tetrahydrocurcumin,36062-04-1,Food flavor fragrance,1.905125,125.2665,14.8046,6618.795,315.136,
43,1-Tetradecene,1120-36-1,Solvent,16.7677,1603.02,1000,42564.55,3439.03,
44,"Indeno(1,2,3-cd)pyrene",193-39-5,PAH,3.04245,1660.095,771.862,44977.4,3490.67,
45,Dalapon,75-99-0,Herbicide,23.7133,1331.56,43.6519,41161.45,4396.155,
46,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,Pesticide,16.36465,3.324105,2.97678,124.8985,83.11675,
47,Pyridaben,96489-71-3,Pesticide,2.60128,0.01061105,3.583765,9.521615,8.054855,
48,Dimethylarsinic_acid,75-60-5,Herbicide,76.5319,1006.595,785.489,40159.55,3789.795,
49,EPN,2104-64-5,Pesticide,103.008,1.825375,0.781171,165.5075,321.0295,
50,Chloridazon,1698-60-8,Herbicide,2.090355,1509.95,89.1961,46594,3360.255,
51,"2,2,4-Trimethyl-1,3-pentanediol_diisobutyrate",6846-50-0,Chemical intermediate,51.05835,1355.09,1433.07,39126.5,1866.265,
52,Norethindrone,68-22-4,Pharmaceutical,0.03612415,1000,1000,37776.4,1534.145,
