Chemical.Number,Chemical.Name,Chemical.CAS,Chemical.Class,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Drug_lable,QT.TdP_lable_onCedibleMed,QT.TdP_Positive_k_c,FDA_study
1,mifepristone,84371-65-3,Pharmaceutical,0.00345831,14.5881,20.13115,5.651065,220.2465,Drug,Possible,0,
2,N-acetylprocainamide,32795-44-1,Pharmaceutical,0.8429,27.96555,1.844275,527.629,168.1065,Drug,Negative,0,
3,Propafenone,54063-53-5,Pharmaceutical,7.099835,1.472775,0.07731665,0.570825,12.9746,Drug,Conditional,1,
4,bepridil_hydrochloride,74764-40-2,Pharmaceutical.cIPA,6.33868,0.0345766,0.001014735,0.486634,11.29285,Drug,Known,1,
5,citalopram_hydrobromide,59729-32-7,Pharmaceutical,82.7004,1.27072,0.108301,52.9716,140.215,Drug,Known,1,
6,disopyramide_phosphate,3737-09-5,Pharmaceutical.cIPA,591.6545,2.1829,0.8455065,30445.95,46.13485,Drug,Known,1,High
7,Tartaric_acid,147-71-7,Food.Additive,49.253,1005.6,816.87,27591.3,160.2675,,,NA,
8,Glucono-d-lactone,90-80-2,Food.Additive,4.034345,1087.845,1077.115,37650.85,284.335,,,NA,
9,Xylitol,87-99-0,Food.Additive,2.10079,1190.71,789.835,26883.4,135.191,,,NA,
10,Leucine,61-90-5,Food.Additive,13.31415,1295.845,667.323,28166.5,150.306,,,NA,
11,"3,4-Dichlorophenyl_isocyanate",102-36-3,Industrial.Chemical,2.56003,106.623,116.864,58.3483,638.4655,,,NA,
12,vernacalant,794466-70-9,Pharmaceutical,108.5095,0.3576725,0.9599975,49.2662,161.41,Drug,Negative,0,
13,1-Methyl-Alpha-Ionone,7779-30-8,Food.Additive,0.9921515,127.9105,126.0135,58.80905,77.9258,,,NA,
14,lamotrigine,84057-84-1,Pharmaceutical,120.378,163.718,129.7155,58.787,272.7345,Drug,Negative,0,
15,dofetilide,115256-11-6,Pharmaceutical.cIPA,29.3505,0.000141072,0.000204085,10353.9,58.348,Drug,Known,1,High
16,diltiazem,34933-06-7,Pharmaceutical.cIPA,3.10E-05,3.55256,0.8311015,4.410345,144.395,Drug,Conditional,1,
17,cisapride_monohydrate,81098-60-4,Pharmaceutical.cIPA,13.6093,9.44E-05,0.000222913,2.24943,122.6755,Drug,Known,1,intermediate
18,ranolazine,95635-55-5,Pharmaceutical.cIPA,153.363,2.2941,0.3003905,46.41615,113.2915,Drug,Conditional,1,low
19,loratadine,79794-75-5,Pharmaceutical.cIPA,0.0104811,21.41435,22.22865,5.92024,19.9235,Drug,Negative,0,low
20,ibutilide_fumarate,122647-32-9,Pharmaceutical.cIPA,9.45253,0.000125119,0.000159353,1.67912,38.47455,Drug,Known,1,High
21,cabazitaxel,183133-96-2,Pharmaceutical,1.462195,173.3835,99.56135,60.52215,23.336,Drug,Negative,0,
22,Quinine.HCl.2H2O,130-95-0,Food.Additive,17.85135,1.612345,6.85525,5.265105,79.39425,,,NA,
